	course_code	course_title	offering_unit
112	Accounting 236	Mathematical Theory of Interest and Life Contingencies II	DAF, DAF-BGC
113	Acctg 1	Introduction to Financial Accounting	DBA, AIT, SE, DAF, HRIM, DIE/OR, CPAGE
114	Actuarial Sci 110	General Insurance	DBA
115	Actuarial Sci 111	Casualty Insurance	DBA
116	Actuarial Sci 210	Advanced Mathematical Theory of Interest and Life Contingencies I	DBA-BGC, DBA
117	Actuarial Sci 211	Advanced Mathematical Theory of Interest and Life Contingencies II	DBA, DBA-BGC
118	Adv Stud 299	Research Methods I	PSP, AC
119	Anthro 3	Philippine Ethnography	DAnthro
120	Anthro 10	Bodies, Senses and Humanity	DAnthro
121	Anthro 100	General Anthropology	DAnthro
122	Anthro 101	Foundations of Biological Anthropology	DAnthro
123	Anthro 101.1	Foundations of Biological Anthropology Laboratory	DAnthro
124	Anthro 102	Ethnography of Eastern Asia and Oceania	DAnthro
125	Anthro 103	Primatology	DAnthro
126	Anthro 104	Human Evolution	DAnthro
127	Anthro 105	Human Evolution	DAnthro
128	Anthro 106	Primitive Sociology	DAnthro
129	Anthro 107	Contemporary Human Populations	DAnthro
130	Anthro 111	Introduction to Archaeology	DAnthro
131	Anthro 111.1	Introduction to Archaeology Laboratory	DAnthro
132	Anthro 112	World Cultural History	DAnthro
133	Anthro 114	Archaeology of Southeast Asia and Oceania	DAnthro
134	Anthro 115	Philippine Archaeology	DAnthro
135	Anthro 116	Philippine Folklore	DAnthro
136	Anthro 117	Folklore of Eastren Asia and Oceania	DAnthro
137	Anthro 118	Prehistory of the Philippines	DAnthro
138	Anthro 119	Introduction to Museology	DAnthro
139	Anthro 120	Special Problems in Museology	DAnthro
140	Anthro 123	Peoples of the Philippines	DAnthro
141	Anthro 124	Peoples of Southeast Asia and Oceania	DAnthro
142	Anthro 126	Social and Economic Life of Philippine Mountain Peoples	DAnthro
143	Anthro 131	Economic Anthropology	DAnthro
144	Anthro 132	Introduction to Ecological Anthropology	DAnthro
145	Anthro 133	Economic Anthropology	DAnthro
146	Anthro 141	Introduction to Political Anthropology	DAnthro
147	Anthro 142	Legal Anthropology	DAnthro
148	Anthro 151	Comparative Religion	DAnthro
149	Anthro 161	Introduction to Folklore	DAnthro
150	Anthro 164	Folklore of Southeast Asia and Oceania	DAnthro
151	Anthro 165	Philippine Folklore	DAnthro
152	Anthro 166	 Indigenous Knowledge	DAnthro
