	course_code	course_title	offering_unit
1633	CWTS 1 Engg	CWTS 1	Theory, CTID, CTID, CTID, CTID, CTID, CTID, CTID, CTID, DWP, DWP, DWP, DWP, DWP, DWP, DWP, DWP, DWP, DWP, HRIM, HRIM, HRIM, HRIM, HRIM, HRIM, HRIM, HRIM, HRIM, HRIM, Musico, DFSN, DMO, DMO, DMO, DMO, DMO, DMO, DMO, DMO, DMO, DMO, HEED, HEED, HEED, HEED, HEED, HEED, HEED, HEED, HEED, HEED, IB, IB, IB, IB, IB, IB, IB, IB, IB, IB, FLCD, FLCD, FLCD, FLCD, FLCD, FLCD, FLCD, FLCD, FLCD, FLCD, ESP, ESP, ESP, ESP, ESP, ESP, ESP, ESP, ESP, ESP, VC, VC, VC, VC, VC, VC, VC, VC, VC, IC, IC, IC, IC, IC, IC, IC, IC, IC, IC, VC, Theory, Theory, MATH, MATH, MATH, MATH, MATH, MATH, MATH, MATH, MATH, MATH, Theory, Theory, Theory, Theory, Theory, Theory, Theory, SA, DSCM, MBBP, MBBP, MBBP, MBBP, MBBP, MBBP, MBBP, MBBP, MBBP, MBBP, SA, SA, SA, SA, SA, SA, SA, SA, SA, MSI, MSI, MSI, MSI, MSI, MSI, MSI, MSI, MSI, MSI, DAF, DAF, DAF, DAF, DAF, DAF, DAF, DAF, DAF, DAF, Musico, Musico, Musico, Musico, Musico, Musico, Musico, Musico, NIGS, NIGS, NIGS, NIGS, NIGS, NIGS, NIGS, NIGS, NIGS, NIGS, DBA, DBA, DBA, DBA, DBA, DBA, DBA, DBA, DBA, DBA, DSCM, DSCM, DSCM, DSCM, DSCM, DSCM, DSCM, DSCM, DSCM, NIP, NIP, NIP, NIP, NIP, NIP, NIP, NIP, NIP, NIP, DSCTA, DSCTA, DSCTA, DSCTA, DSCTA, DSCTA, DSCTA, DSCTA, DSCTA, DSCTA, SSP, SSP, SSP, SSP, SSP, SSP, SSP, SSP, SSP, SSP, DFPP, DFPP, DFPP, DFPP, DFPP, DFPP, DFPP, DFPP, DFPP, DFPP, DPE, DPE, DPE, DPE, DPE, Philo, Philo, Philo, Philo, Philo, Philo, Philo, Philo, Philo, Philo, DEL, DEL, DEL, DEL, DEL, DPE, DPE, DPE, DPE, Lingg, Lingg, Lingg, Lingg, Lingg, Lingg, Lingg, Lingg, Lingg, Lingg, DEL, DEL, DEL, DEL, DEL, DECL, DPE, Socio, Socio, Socio, Socio, Socio, Socio, Socio, Socio, Socio, Socio, DECL, DECL, DECL, DECL, DECL, DECL, DECL, DECL, DECL, Psych, Psych, Psych, Psych, Psych, Psych, Psych, Psych, Psych, Psych, DAS, DAS, DAS, DAS, DAS, DAS, DAS, DAS, DAS, DAS, PolSci, PolSci, PolSci, PolSci, PolSci, PolSci, PolSci, PolSci, PolSci, PolSci, Stat, Stat, Stat, Stat, Stat, Stat, Stat, Stat, Stat, Stat, Musico, DFSN, DFSN, DFSN, PopIns, PopIns, PopIns, PopIns, PopIns, PopIns, PopIns, PopIns, PopIns, PopIns, SOLAIR, SOLAIR, SOLAIR, SOLAIR, SOLAIR, SOLAIR, SOLAIR, SOLAIR, SOLAIR, SOLAIR, Kas, Kas, Kas, Kas, Kas, Kas, Kas, Kas, Kas, Kas, SURP, SURP, SURP, SURP, SURP, SURP, SURP, SURP, SURP, SURP, DGeog, DGeog, DGeog, DGeog, DGeog, DGeog, DGeog, DGeog, DGeog, DGeog, SE, SE, SE, SE, SE, SE, SE, DMuE, DAnthro, DAnthro, DAnthro, DAnthro, DAnthro, DAnthro, DAnthro, DAnthro, DAnthro, DAnthro, SE, SE, SE, SLIS, DMuE, DMuE, DMuE, DMuE, DMuE, DMuE, DMuE, DMuE, DMuE, CD, CD, CD, CD, CD, CD, CD, CD, CD, CD, SLIS, SLIS, SLIS, SLIS, SLIS, SLIS, SLIS, SLIS, SLIS, SW, SW, SW, SW, SW, SW, SW, SW, SW, SW, AIT, AIT, AIT, AIT, AIT, AIT, AIT, AIT, AIT, AIT, WD, WD, WD, WD, WD, WD, WD, WD, WD, WD, DMST, DMST, DMST, DMST, DMST, DMST, DMST, DMST, DMST, DMST, DCI, DCI, DCI, DCI, DCI, DCI, DCI, DCI, DCI, DCI, NCPAG, NCPAG, NCPAG, NCPAG, NCPAG, NCPAG, NCPAG, NCPAG, NCPAG, NCPAG, DELPS, DELPS, DELPS, DELPS, DELPS, DELPS, DELPS, DELPS, DELPS, DELPS, Engg, Engg, Engg, Engg, Engg, Engg, Engg, Engg, Engg, Engg, DSS, DSS, DSS, DSS, DSS, DSS, DSS, DSS, DSS, EEEI, EEEI, EEEI, EEEI, EEEI, EEEI, EEEI, EEEI, EEEI, EEEI, Educ, Educ, Educ, Educ, Educ, Educ, Educ, Educ, Educ, DSS, DES, DES, DES, DES, DES, DES, DES, DES, DES, DES, Educ, CSWCD, CSWCD, CSWCD, DChE, DChE, DChE, DChE, DChE, DChE, DChE, DChE, DChE, DChE, CSWCD, CSWCD, CSWCD, CSWCD, CSWCD, CSWCD, CSWCD, CSSP, ICE, ICE, ICE, ICE, ICE, ICE, ICE, ICE, ICE, ICE, CSSP, CSSP, CSSP, CSSP, CSSP, CSSP, CSSP, CSSP, CSSP, DCS, DCS, DCS, DCS, DCS, DCS, DCS, DCS, DCS, DCS, CS, CS, CS, CS, CS, CS, CS, CS, CS, CS, DGE, DGE, DGE, DGE, DGE, DGE, DGE, DGE, DGE, DGE, CMu, CMu, CMu, CMu, CMu, CMu, CMu, CMu, CMu, CMu, DIE/OR, DIE/OR, DIE/OR, DIE/OR, DIE/OR, DIE/OR, DIE/OR, DIE/OR, DIE/OR, DIE/OR, CMC, CMC, CMC, CMC, CMC, CMC, CMC, CMC, CMC, CMC, DCond, DCond, DCond, DME, DME, DME, DME, DME, DME, DME, DME, DME, DME, CHK, CHK, CHK, CHK, CHK, CHK, CHK, CHK, CHK, CHK, DCond, DCond, DCond, DCond, DCond, DCond, DCond, DMMM, DMMM, DMMM, DMMM, DMMM, DMMM, DMMM, DMMM, DMMM, DMMM, CHE, CHE, CHE, CHE, CHE, EEEP, EEEP, EEEP, EEEP, EEEP, EEEP, EEEP, EEEP, EEEP, EEEP, CHE, CHE, CHE, CHE, CHE, CFA, CPAGE, CPAGE, CPAGE, CPAGE, CPAGE, CPAGE, CPAGE, CPAGE, CPAGE, CPAGE, CFA, CFA, CFA, CFA, CFA, CFA, CFA, CFA, CFA, OCS, OCS, OCS, OCS, OCS, OCS, OCS, OCS, OCS, DSD, DSD, DSD, DSD, DSD, DSD, DSD, DSD, DSD, DSD, VSB, VSB, VSB, VSB, VSB, VSB, VSB, VSB, VSB, VSB, EnE, EnE, EnE, EnE, EnE, EnE, EnE, EnE, EnE, EnE, CAL, CAL, CAL, CAL, CAL, CAL, CAL, CAL, CAL, CAL, EgyE, EgyE, EgyE, EgyE, EgyE, EgyE, EgyE, EgyE, EgyE, EgyE, Arch, Arch, Arch, Arch, Arch, Arch, Arch, Arch, Arch, Arch, IESM, IESM, IESM, IESM, IESM, IESM, IESM, IESM, IESM, IESM, AC, AC, AC, AC, AC, AC, AC, AC, AC, AC, OCS, UPDEPP/O, UPDEPP/O, UPDEPP/O, UPDEPP/O, UPDEPP/O, UPDEPP/O, UPDEPP/O, UPDEPP/O, UPDEPP/O, UPDEPP/O, DComp, DComp, DComp, DComp, DComp, DComp, DComp, DComp, DComp, DComp, DJourn, DJourn, DJourn, DJourn, DJourn, DJourn, DJourn, DJourn, DJourn, DJourn, DCRes, DCRes, DCRes, DCRes, DCRes, DCRes, DCRes, OCS, DCRes, DCRes, DCRes, DFAVC, DFAVC, DFAVC, DFAVC, DFSN, DFSN, DFSN, DFSN, DFSN, DFSN, DFAVC, DFAVC, DFAVC, DFAVC, DFAVC, DBC, DBC, DBC, DBC, DBC, DBC, DBC, DBC, DBC, DBC, DFAVC, DKey, DKey, DKey, DKey, DKey, DKey, DKey, DKey, DKey, DKey, OCS, OCS, OCS, OCS, OCS, OCS, OCS, OCS, OCS, DVMT, DVMT, DVMT, DVMT, DVMT, DVMT, DVMT, DVMT, DVMT, DVMT, CTID, CTID
1634	CWTS 1 AIT	CWTS 1	DAS, IB, PopIns, DSCM, EnE, DMMM, DBC, CHK, EEEP, DFSN, AC, Musico, NIGS, CMu, DChE, SURP, HRIM, DCRes, SOLAIR, ICE, Engg, DGE, DPE, OCS, UPDEPP/O, MSI, DAnthro, Stat, VC, SA, DWP, HEED, EEEI, DBA, EgyE, DCond, NIP, WD, DECL, DCI, CMC, MATH, Educ, CHE, VSB, Psych, SE, DAF, DSS, CPAGE, DMO, DGeog, DELPS, DSD, DJourn, CAL, CSSP, DSCTA, Socio, AIT, Arch, Philo, DEL, DES, SSP, NCPAG, Theory, FLCD, SW, CSWCD, ESP, CTID, IESM, PolSci, DCS, SLIS, CD, Lingg, MBBP, DMuE, DFAVC, DComp, Kas, CFA, OCS, CS, IC, DFPP, DKey, DMST, DME, DIE/OR, DVMT
1635	CWTS 1 CAL	Art and service to the community	Educ, DPE, DSD, Lingg, Musico, NIP, CHK, CTID, OCS, DMuE, DEL, DMO, VSB, DES, DME, DSCTA, DELPS, CHE, DVMT, DAS, ESP, OCS, MBBP, DComp, SOLAIR, IC, AIT, ICE, EEEP, DJourn, NIGS, CPAGE, SLIS, SE, CAL, DCond, DGE, DChE, IB, DCI, SA, IESM, DFAVC, CSSP, Philo, EgyE, PopIns, NCPAG, DBA, DCRes, DBC, DAnthro, VC, CMu, CMC, Psych, DIE/OR, Kas, FLCD, EnE, Stat, Arch, MATH, HRIM, DGeog, DSCM, PolSci, DMST, Engg, EEEI, SURP, DECL, HEED, Socio, CFA, DMMM, DFSN, DKey, CS, UPDEPP/O, AC, DAF, WD, DFPP, DSS, SW, CD, CSWCD, Theory, DWP, SSP, DCS, MSI
1636	CWTS 1 and 2 Educ	CWTS 1-2	OCS, OCS, OCS, DFPP, Arch, EEEP, CMC, IC, IC, IC, Arch, SURP, SLIS, SLIS, SLIS, EgyE, EgyE, EgyE, DCS, DCS, ESP, ESP, ESP, CS, CS, DCS, DFAVC, EEEP, EnE, DEL, Musico, Musico, Musico, DME, DEL, DEL, EEEP, CS, IB, IB, IB, IESM, DFAVC, DMO, DMO, DFAVC, DMO, IESM, IESM, DME, DChE, CTID, DSCM, CSSP, CSSP, CSSP, DME, DSCM, SW, DSCM, DECL, DECL, AC, SW, DECL, DFSN, DFSN, DFSN, AC, AC, SW, DVMT, CTID, CTID, DVMT, DVMT, EEEI, CD, CD, CD, CHK, HRIM, CHK, DComp, DSS, CHK, VC, VC, VC, DCond, SOLAIR, SOLAIR, CMu, DGE, DGE, DGE, DAnthro, DAnthro, DAnthro, SOLAIR, DSS, DGeog, DGeog, DGeog, CMu, DMST, DMST, DMST, NCPAG, NCPAG, NCPAG, CMu, CHE, ICE, CHE, ICE, CHE, ICE, Kas, Kas, CFA, DCond, Kas, CFA, DComp, Theory, Theory, Theory, OCS, PopIns, PopIns, PopIns, CFA, DSD, PolSci, PolSci, PolSci, DMMM, HEED, HEED, DMMM, DMMM, HEED, OCS, Engg, Engg, Engg, DELPS, Stat, Psych, Psych, SA, SA, Stat, DELPS, SA, DBC, DBC, DBC, DPE, DPE, DPE, Psych, Stat, DELPS, Socio, Socio, Socio, VSB, DCond, HRIM, DKey, DKey, DKey, Educ, Educ, Educ, CMC, VSB, DCI, DMuE, DMuE, DMuE, Lingg, Lingg, Lingg, DCI, DAF, DAF, VSB, DJourn, DJourn, DAF, CPAGE, CPAGE, CPAGE, CAL, CMC, AIT, AIT, AIT, DCI, Philo, Philo, Philo, CAL, DSS, SSP, SSP, SSP, CAL, DComp, DJourn, DWP, DWP, DIE/OR, DES, DIE/OR, EEEI, EEEI, DBA, DBA, DBA, WD, DIE/OR, WD, SE, NIP, NIP, NIP, SE, DES, OCS, NIGS, SE, NIGS, NIGS, SURP, WD, DWP, DSD, MSI, MSI, MSI, DCRes, DCRes, DCRes, DSCTA, DSCTA, DSCTA, UPDEPP/O, DSD, UPDEPP/O, HRIM, SURP, CSWCD, CSWCD, CSWCD, DAS, DES, MBBP, MBBP, MBBP, DAS, DAS, FLCD, FLCD, UPDEPP/O, MATH, MATH, FLCD, MATH, Arch, DChE, EnE, EnE, DFPP, DFPP, DChE
1637	CWTS 1 and 2 UPDEPP/O	CWTS 1-2	OCS, SW, IESM, DVMT, PopIns, DME, EEEI, CTID, CMu, OCS, DES, DGE, Stat, DFSN, UPDEPP/O, ICE, EgyE, Educ, DWP, CSWCD, HRIM, CSSP, CHE, CMC, Kas, CPAGE, NIP, AC, DCond, Theory, MATH, CS, DELPS, WD, DMO, DJourn, CFA, CD, NIGS, IC, DFPP, Philo, VSB, DPE, IB, DChE, DSS, SURP, HEED, SOLAIR, SA, DFAVC, EnE, Psych, DECL, DKey, DBA, ESP, SLIS, DCS, EEEP, NCPAG, DMST, CAL, Socio, MBBP, DAF, CHK, DIE/OR, DAnthro, DBC, PolSci, FLCD, DMuE, DSCM, SE, SSP, DSCTA, DMMM, Lingg, Engg, DCI, DSD, MSI, Arch, AIT, DCRes, DEL, DComp, Musico, DGeog, VC, DAS
1638	CWTS 1 and 2 AIT	CWTS 1-2	DAF, DME, DPE, Educ, DMuE, SURP, DFSN, HEED, DCI, Stat, DFPP, OCS, CAL, DGE, SSP, Kas, MATH, DELPS, OCS, UPDEPP/O, EEEI, Theory, DFAVC, DMO, NIP, CSSP, DJourn, DBA, IC, HRIM, Psych, DMMM, NCPAG, DSCM, Arch, AC, AIT, DEL, CSWCD, Philo, DIE/OR, DVMT, CFA, DAS, DAnthro, DMST, ICE, CMC, DCRes, CMu, EEEP, Engg, DSD, Musico, DGeog, VSB, PopIns, PolSci, DCS, Lingg, SE, NIGS, MSI, EnE, Socio, CD, EgyE, SOLAIR, CPAGE, SA, VC, IB, DChE, FLCD, CS, DECL, CHE, DComp, IESM, CTID, SW, ESP, DCond, SLIS, CHK, DBC, DSS, DWP, DES, MBBP, WD, DKey, DSCTA
1639	CWTS 1 UPDEPP/O	CWTS 1	CAL, SW, MATH, DComp, CMu, WD, VSB, OCS, PolSci, DFPP, DMST, DGE, CHK, VC, CD, Philo, UPDEPP/O, SLIS, CPAGE, DCI, DAnthro, DEL, DMO, DSS, NCPAG, CTID, Socio, AC, DVMT, SURP, Engg, Educ, DWP, CS, DMuE, CSWCD, DIE/OR, DBA, OCS, HEED, DCS, EEEP, SE, DSCTA, CFA, Theory, DAF, DFSN, SOLAIR, Stat, Lingg, DCond, DELPS, DAS, MSI, IESM, Psych, DCRes, DJourn, NIGS, CSSP, ICE, SA, EgyE, FLCD, DSCM, Arch, MBBP, EnE, Musico, CHE, Kas, IC, DFAVC, DME, HRIM, ESP, DES, EEEI, DGeog, CMC, DECL, DPE, DBC, IB, DSD, DKey, NIP, DMMM, SSP, AIT, PopIns, DChE
1640	CWTS 1 CFA	CWTS 1	Kas, FLCD, FLCD, FLCD, Philo, Philo, Philo, Philo, FLCD, ESP, ESP, HRIM, CS, CS, CS, CS, DWP, DWP, Musico, Musico, ESP, DJourn, Musico, HRIM, PopIns, PopIns, Kas, DJourn, DJourn, Kas, SURP, ICE, ICE, ICE, DJourn, ESP, DFPP, DFPP, DFPP, DFPP, DCond, DCond, DCond, Lingg, Lingg, Lingg, Lingg, DCond, ICE, HRIM, DMO, NCPAG, DGeog, DKey, DFSN, DES, DES, DES, DES, NCPAG, DFSN, CHE, CHE, CHE, CHE, Musico, HEED, HEED, DGE, DGE, DGE, DGE, HEED, HEED, IB, PopIns, PopIns, DCI, NCPAG, NCPAG, AC, EgyE, SOLAIR, DCI, SOLAIR, EEEI, SOLAIR, DCI, DCI, IB, Socio, Socio, Socio, Socio, VSB, DEL, DEL, DEL, DEL, IB, IB, CAL, SOLAIR, CAL, AIT, AC, CSSP, CSSP, CSSP, CSSP, AIT, DSD, DSD, DSD, DSD, CTID, CTID, AC, Engg, EEEI, AIT, AIT, DChE, EEEI, EEEI, EgyE, EgyE, CAL, CAL, WD, Psych, Psych, Psych, Psych, VSB, VSB, VSB, WD, WD, DECL, CTID, UPDEPP/O, UPDEPP/O, UPDEPP/O, DKey, DECL, DECL, DECL, WD, DFSN, SA, DFSN, EgyE, DMST, SA, CTID, DMST, SA, SA, CHK, NIGS, NIGS, NIGS, NIGS, DMST, DMST, CHK, CHK, Stat, Stat, Stat, DCS, DCS, CHK, EEEP, EEEP, DSCM, DSCM, DSCM, DSCM, EEEP, EEEP, OCS, DMMM, DMMM, DMMM, DMMM, OCS, OCS, MSI, DCS, DCS, SLIS, MSI, MSI, SLIS, CMC, CMC, CMC, CMC, SLIS, Stat, OCS, DMO, DPE, MSI, CPAGE, EnE, EnE, EnE, EnE, DAF, DAF, DAF, DAF, CPAGE, CPAGE, OCS, DMuE, SLIS, DMuE, DMuE, DELPS, DBC, DBC, UPDEPP/O, DBC, DBC, Theory, DMuE, DChE, DChE, DMO, DMO, Theory, Theory, Theory, DELPS, MBBP, MBBP, NIP, MBBP, DChE, Educ, Educ, DELPS, Educ, MBBP, NIP, NIP, NIP, Educ, DAnthro, DBA, DBA, DBA, DBA, DCRes, DSS, DSS, DSS, DCRes, DAnthro, DELPS, SW, SW, PolSci, DCRes, DSS, DCRes, PolSci, DME, DME, DME, DME, DVMT, DVMT, CPAGE, PolSci, PolSci, SW, DAnthro, OCS, MATH, MATH, MATH, VC, VC, DVMT, SW, CMu, CMu, CMu, CMu, IESM, IESM, IESM, CSWCD, DVMT, CSWCD, CSWCD, CSWCD, IESM, CD, DPE, DFAVC, DFAVC, DFAVC, SSP, SSP, SSP, SSP, DFAVC, DPE, DPE, SE, OCS, Engg, VC, Arch, Arch, Arch, Arch, Engg, DAnthro, VC, CFA, DKey, DKey, SE, CFA, DAS, DAS, DAS, DAS, AC, DSCTA, DSCTA, DSCTA, DSCTA, SE, CFA, CFA, SE, CD, DGeog, DGeog, MATH, DComp, DComp, DWP, DWP, DIE/OR, DIE/OR, DIE/OR, DComp, DGeog, OCS, Engg, CD, CD, DComp, DIE/OR, IC, IC, IC, HRIM, SURP, SURP, SURP, Kas, IC
1641	CWTS 1 CHE	CWTS 1	NCPAG, Musico, Musico, Musico, Musico, Musico, Musico, Musico, DPE, DPE, DPE, DPE, DPE, DPE, DPE, CPAGE, CPAGE, CPAGE, DSCM, DSCM, DSCM, DSCM, DSCM, DSCM, DSCM, DSS, DSS, DSS, DSS, DSS, DSS, DSS, CPAGE, CPAGE, CPAGE, CHE, CHE, CHE, DMuE, DMuE, DMuE, DMuE, DMuE, DMuE, DMuE, OCS, OCS, OCS, OCS, OCS, OCS, OCS, CHE, CHE, CHE, CHE, DCond, DCond, DCond, DCond, DCond, DCond, DCond, DJourn, DJourn, DJourn, DJourn, DJourn, DJourn, DJourn, DComp, DComp, DComp, DComp, DComp, DComp, DComp, DFAVC, DFAVC, DFAVC, DFAVC, DFAVC, DFAVC, DFAVC, CPAGE, DCRes, DCRes, DCRes, DCRes, DCRes, DCRes, DCRes, DBC, DBC, DBC, DBC, DBC, DBC, DBC, EEEP, EEEP, EEEP, EEEP, EEEP, EEEP, EEEP, CHK, CHK, CHK, CHK, CHK, CHK, CHK, UPDEPP/O, UPDEPP/O, UPDEPP/O, UPDEPP/O, UPDEPP/O, UPDEPP/O, UPDEPP/O, DMMM, DMMM, DMMM, DMMM, DMMM, DMMM, DMMM, CMC, CMC, CMC, CMC, CMC, CMC, CMC, DME, DME, DME, DME, DME, DME, DME, CMu, CMu, CMu, CMu, CMu, CMu, CMu, Arch, Arch, Arch, Arch, Arch, Arch, Arch, DIE/OR, DIE/OR, DIE/OR, DIE/OR, DIE/OR, DIE/OR, DIE/OR, CS, CS, CS, CS, CS, CS, CS, DGE, DGE, DGE, DGE, DGE, DGE, DGE, CSSP, CSSP, CSSP, CSSP, CSSP, CSSP, CSSP, AC, DCS, DCS, DCS, DCS, DCS, DCS, DCS, ICE, ICE, ICE, ICE, CSWCD, CSWCD, CSWCD, CSWCD, CSWCD, CSWCD, CSWCD, ICE, ICE, ICE, DChE, DChE, DChE, DChE, DChE, DChE, DChE, Educ, Educ, Educ, Educ, Educ, Educ, Educ, IESM, DES, DES, DES, DES, DES, DES, DES, Engg, Engg, Engg, Engg, Engg, Engg, Engg, IESM, IESM, IESM, IESM, IESM, EEEI, EEEI, EEEI, EEEI, EEEI, EEEI, EEEI, NCPAG, NCPAG, NCPAG, NCPAG, NCPAG, NCPAG, IESM, DELPS, DELPS, DELPS, DELPS, DELPS, DELPS, DELPS, DMST, DMST, DMST, DMST, DMST, DMST, DMST, DCI, DCI, DCI, DCI, DCI, DCI, DCI, AIT, AIT, AIT, AIT, AIT, AIT, AIT, CAL, CAL, CAL, CAL, CAL, CAL, CAL, WD, WD, WD, WD, WD, WD, WD, SW, SW, SLIS, SLIS, SLIS, SLIS, SLIS, SLIS, SLIS, SW, SW, SW, SW, SW, CD, CD, CD, CD, CD, CD, CD, SE, SE, SE, SE, SE, SE, SE, DAnthro, DAnthro, DAnthro, DAnthro, DAnthro, DAnthro, DAnthro, SURP, SURP, SURP, SURP, SURP, SURP, SURP, DGeog, DGeog, DGeog, DGeog, DGeog, DGeog, DGeog, SOLAIR, SOLAIR, SOLAIR, SOLAIR, SOLAIR, SOLAIR, SOLAIR, EgyE, EgyE, EgyE, EgyE, EgyE, EgyE, EgyE, Kas, Kas, Kas, Kas, Kas, Kas, Kas, Stat, Stat, Stat, Stat, Stat, Stat, Stat, PopIns, PopIns, PopIns, PopIns, PopIns, PopIns, PopIns, DAS, DAS, DAS, DAS, DAS, DAS, DAS, PolSci, PolSci, PolSci, PolSci, PolSci, PolSci, PolSci, DECL, DECL, DECL, DECL, DECL, DECL, DECL, Psych, Psych, Psych, Psych, Psych, Psych, Psych, Socio, Socio, Socio, Socio, Socio, Socio, DEL, DEL, DEL, DEL, DEL, DEL, DEL, VSB, VSB, VSB, VSB, VSB, VSB, VSB, Socio, Lingg, Lingg, Lingg, Lingg, Lingg, Lingg, Lingg, DFPP, DFPP, DFPP, DFPP, DFPP, DFPP, DFPP, Philo, Philo, Philo, Philo, Philo, Philo, Philo, DSCTA, DSCTA, DSCTA, DSCTA, DSCTA, DSCTA, DSCTA, AC, AC, AC, AC, AC, AC, SSP, SSP, SSP, SSP, SSP, SSP, SSP, DBA, DBA, DBA, DBA, DBA, DBA, DBA, EnE, EnE, EnE, EnE, NIP, NIP, NIP, NIP, NIP, NIP, NIP, DAF, DAF, DAF, DAF, DAF, DAF, DAF, EnE, EnE, EnE, NIGS, NIGS, NIGS, NIGS, NIGS, NIGS, NIGS, SA, SA, SA, SA, SA, SA, SA, MSI, MSI, MSI, MSI, MSI, MSI, MSI, MBBP, MBBP, MBBP, MBBP, Theory, Theory, Theory, Theory, Theory, Theory, Theory, MBBP, MBBP, MBBP, MATH, MATH, MATH, MATH, MATH, MATH, MATH, VC, VC, VC, VC, VC, VC, VC, CFA, IC, IC, IC, IC, IC, IC, IC, FLCD, FLCD, FLCD, FLCD, FLCD, FLCD, FLCD, CFA, CFA, CFA, CFA, CFA, CFA, ESP, ESP, ESP, ESP, ESP, ESP, ESP, HEED, HEED, HEED, HEED, HEED, HEED, HEED, IB, IB, IB, IB, IB, IB, IB, HRIM, HRIM, HRIM, HRIM, HRIM, HRIM, HRIM, DMO, DMO, DMO, DMO, DMO, DMO, DMO, CTID, CTID, CTID, CTID, CTID, CTID, CTID, DSD, DSD, DSD, DSD, DSD, DSD, DSD, DWP, DWP, DWP, DWP, DWP, DWP, DWP, DVMT, DVMT, OCS, OCS, OCS, OCS, OCS, OCS, OCS, DVMT, DVMT, DVMT, DVMT, DVMT, DKey, DKey, DKey, DKey, DKey, DKey, DKey, DFSN, DFSN, DFSN, DFSN, DFSN, DFSN, DFSN
1642	CWTS 1 and 2 Arch	Landscape Architecture Enhancement of Communities	DES, DCRes, DSD, CFA, DGE, DECL, Arch, DMST, SLIS, IESM, EgyE, DAS, CAL, NCPAG, Educ, DJourn, DSCM, VC, DKey, DMMM, Lingg, Theory, CHK, AIT, DIE/OR, DAnthro, SOLAIR, Engg, VSB, Musico, Philo, Socio, MSI, DME, CD, CPAGE, PolSci, FLCD, PopIns, CS, SURP, SSP, SW, MBBP, DBC, DSCTA, WD, DFSN, DPE, DSS, DMuE, DAF, DCI, MATH, Psych, HEED, DELPS, DCond, DComp, NIP, IC, HRIM, CSSP, EEEI, DFPP, EnE, CHE, OCS, CMu, Kas, ESP, DBA, SE, IB, CTID, DChE, DWP, DVMT, UPDEPP/O, DEL, Stat, ICE, DMO, DFAVC, CSWCD, SA, NIGS, AC, CMC, DGeog, DCS, EEEP, OCS
1643	CWTS 1 DMST	CWTS 1	Philo, DECL, DGE, AC, EnE, DMST, IB, Theory, UPDEPP/O, SA, VC, DES, IC, DMMM, NIP, DVMT, DMuE, DAF, DMO, DEL, CMC, DFAVC, Musico, DChE, DELPS, FLCD, DBC, CHE, WD, DFPP, CD, HEED, EgyE, CSSP, ICE, DBA, CAL, DFSN, SSP, CSWCD, Arch, DCRes, CFA, DSS, DSCTA, DWP, Stat, HRIM, DCI, OCS, IESM, SLIS, EEEP, DME, Engg, DComp, CPAGE, ESP, DGeog, MSI, Socio, DCond, SW, DKey, DJourn, NCPAG, AIT, PopIns, DAS, PolSci, DPE, CS, MBBP, NIGS, DAnthro, DIE/OR, Kas, VSB, DCS, EEEI, SOLAIR, CTID, DSD, SE, Lingg, DSCM, MATH, CMu, CHK, Psych, Educ, OCS, SURP
