	course_code	units
262	Tour 168	3.0
263	Tour 175	5.0
264	Tour 181	3.0
265	Tour 192	3.0
266	Tour 197	3.0
267	Tour 199	3.0
268	Tour 200	3.0
269	Tour 201	3.0
270	Tour 202	3.0
271	Tour 203	3.0
272	Tour 205	3.0
273	Tour 214	3.0
274	Tour 283	3.0
275	Tour 297	3.0
276	Tour 298	1.0
277	Tour 299	3.0
278	Tour 300	6.0
279	Japan Studies 100	3.0
280	J 100	3.0
281	J 101	3.0
282	J102	5.0
283	J 103	3.0
284	J104	3.0
285	J 105	3.0
286	J 110	3.0
287	J 111	3.0
288	J116	3.0
289	J 117	3.0
290	J 121	3.0
291	J 122	3.0
292	J123	3.0
293	J 152	3.0
294	J195	3.0
295	J196	3.0
296	J197	3.0
297	J199	3.0
298	J 200	3.0
299	J 201	3.0
300	J 202	3.0
301	J 216	3.0
302	J 270	3.0
303	J 300	6.0
304	AI 201	3.0
305	AI 211	3.0
306	AI 221	3.0
307	AI 222	3.0
308	AI 231	3.0
309	AI 296	1.0
310	AI 299	3.0
311	AI 301	3.0
312	AI 321	3.0
313	AI 351	3.0
314	AI 362	3.0
315	ARM 201	3.0
316	ARM 202	3.0
317	ARM 203	3.0
318	ARM 220	3.0
319	ARM 221	3.0
320	ARTS 1	3.0
321	AS 201	3.0
322	AS 202	3.0
323	AS 203	3.0
324	AS 210	3.0
325	AS 211	3.0
326	AS 212	3.0
327	AS 221	3.0
328	AS 230	3.0
329	AS 234	3.0
330	AS 235.2	3.0
331	AS 236.1	3.0
332	AS 236.3	3.0
333	AS 237.1	3.0
334	AS 237.3	3.0
335	AS 250	3.0
336	AS 252	3.0
337	AS 254	3.0
338	AS 255.2	3.0
339	AS 264	3.0
340	AS 265.3	3.0
341	AS 280	3.0
342	AS 284	3.0
343	AS 285.3	3.0
344	AS 298	3.0
345	AS 299	3.0
346	AS 300	6.0
347	Acctg 1	3.0
348	Anthro 10	3.0
349	Anthro 100	3.0
350	Anthro 101	3.0
351	Anthro 101.1	1.0
352	Anthro 111	3.0
353	Anthro 111.1	1.0
354	Anthro 114	3.0
355	Anthro 119	3.0
356	Anthro 123	3.0
357	Anthro 132	3.0
358	Anthro 170	3.0
359	Anthro 179	3.0
360	Anthro 182	3.0
361	Anthro 185	3.0
362	Anthro 187	3.0
363	Anthro 189	3.0
364	Anthro 197	3.0
365	Anthro 197.1	1.0
366	Anthro 198	3.0
367	Anthro 212	3.0
368	Anthro 217	3.0
369	Anthro 219	3.0
370	Anthro 223	3.0
371	Anthro 224	3.0
372	Anthro 251	3.0
373	Anthro 261	3.0
374	Anthro 266	3.0
375	Anthro 267	4.0
376	Anthro 270	3.0
377	Anthro 277	3.0
378	Anthro 278	3.0
379	Anthro 291	3.0
380	Anthro 292	3.0
381	Anthro 300	3.0
382	Anthro 400	3.0
383	App Physics 155	4.0
384	App Physics 167	3.0
385	App Physics 175	3.0
386	App Physics 184	4.0
387	App Physics 195	3.0
388	App Physics 199	3.0
389	App Physics 200	3.0
390	Arch 1	3.0
391	Arch 2	3.0
392	Arch 4	3.0
393	Arch 10	2.0
394	Arch 17	2.0
395	Arch 19	2.0
396	Arch 21	3.0
397	Arch 24	3.0
398	Arch 28	4.0
399	Arch 31	3.0
400	Arch 57	3.0
401	Arch 60	3.0
402	Arch 136	3.0
403	Arch 141	4.0
404	Arch 143	3.0
405	Arch 158	3.0
406	Arch 159	2.0
407	Arch 161	3.0
408	Arch 163	3.0
409	Arch 172	4.0
410	Arch 176	2.0
411	Arch 199.1	4.0
412	Arch 300	3.0
413	Archaeo 2	3.0
414	Archi 201	3.0
415	Archi 202	3.0
416	Archi 203	3.0
417	Archi 210	3.0
418	Archi 211	4.0
419	Archi 231	3.0
420	Archi 232	3.0
421	Archi 233	3.0
422	Archi 241	3.0
423	Archi 242	3.0
424	Archi 243	3.0
425	Archi 244	3.0
426	Archi 251	3.0
427	Archi 252	3.0
428	Archi 253	3.0
429	Archi 254	3.0
430	Archi 261	3.0
431	Archi 262	3.0
432	Archi 299	2.0
433	Archi 300	3.0
434	Arkiyoloji 1	3.0
435	Art Stud 2	3.0
436	Art Stud 50	3.0
437	Art Stud 106	3.0
438	Art Stud 107	3.0
439	Art Stud 112	3.0
440	Art Stud 115	3.0
441	Art Stud 125	3.0
442	Art Stud 140	3.0
443	Art Stud 143	3.0
444	Art Stud 144	3.0
445	Art Stud 154	3.0
446	Art Stud 156	3.0
447	Art Stud 162	3.0
448	Art Stud 170	3.0
449	Art Stud 173	3.0
450	Art Stud 174	3.0
451	Art Stud 178	3.0
452	Art Stud 179	3.0
453	Art Stud 182	3.0
454	Art Stud 186	3.0
455	Art Stud 190	3.0
456	Art Stud 193	3.0
457	Art Stud 194	3.0
458	Art Stud 195	3.0
459	Art Stud 196	3.0
460	Art Stud 199	3.0
461	Art Stud 200	3.0
462	Art Stud 201	3.0
463	Art Stud 202	3.0
464	Art Stud 213	3.0
465	Art Stud 240	3.0
466	Art Stud 245	3.0
467	Art Stud 250	3.0
468	Art Stud 255	3.0
469	Art Stud 270	3.0
470	Art Stud 273	3.0
471	Art Stud 276	3.0
472	Art Stud 281	3.0
473	Art Stud 282	3.0
474	Art Stud 285	3.0
475	Art Stud 299	3.0
476	Art Stud 300	6.0
477	Nutr 201	3.0
478	Nutr 225	3.0
479	Nutr 240	3.0
480	Nutr 250	3.0
481	Nutr 300	6.0
482	PA 101	3.0
483	PA 102	3.0
484	PA 103	3.0
485	PA 104	3.0
486	PA 105	3.0
487	PA 106	3.0
488	PA 107	3.0
489	PA 108	3.0
490	PA 111	3.0
491	PA 112	3.0
492	PA 113	3.0
493	PA 121	3.0
494	PA 124	3.0
495	PA 131	3.0
496	PA 132	3.0
497	PA 141	3.0
498	PA 142	3.0
499	PA 143	3.0
500	PA 151	3.0
501	PA 152	3.0
502	PA 191	3.0
503	PA 199.1	3.0
504	PA 199.2	3.0
505	PA 201	3.0
506	PA 208	3.0
507	PA 209	3.0
508	PA 210	3.0
509	PA 211	3.0
510	PA 213	3.0
511	PA 221	3.0
512	PA 224	3.0
513	PA 227	3.0
514	PA 230	3.0
515	PA 231	3.0
516	PA 234	3.0
517	PA 235	3.0
518	PA 241	3.0
519	PA 242.1	3.0
520	PA 242.2	3.0
521	PA 244	3.0
522	PA 245	3.0
523	PA 251	3.0
524	PA 252	3.0
525	PA 253	3.0
526	PA 254	3.0
527	PA 257	3.0
528	PA 278	3.0
529	PA 284	3.0
530	PA 291	3.0
531	PA 292	3.0
532	PA 299.1	3.0
533	PA 299.2	3.0
534	PA 300	3.0
535	PA 301	3.0
536	PA 303	3.0
537	PA 312	3.0
538	PA 324	3.0
539	PA 332	3.0
540	PA 350	3.0
541	PA 399	3.0
542	PA 400	3.0
543	PE 1	2.0
544	PE 2 UF	2.0
545	PE 2 BS-M	2.0
546	PE 2 TPG	2.0
547	PE 2 AKD	2.0
548	PE 2 MHW	2.0
549	PE 2 AD	2.0
550	PE 2 WF	2.0
551	PE 2 RDN	2.0
