course_code,course_title,offering_unit,units
AS 255.1,Social and Economic Development in Southeast Asia,"AC, AC-ASP",3.0
AS 255.2,Politics and Governance in Southeast Asia,"AC-ASP, AC",3.0
AS 255.3,Culture and Society in Southeast Asia,"AC-ASP, AC",3.0
AS 256,International Relations of Southeast Asia and ASEAN,"AC, AC-ASP",3.0
AS 260,Seminar on South Asia I,"AC, AC-ASP",3.0
AS 261,Seminar on South Asia II,"AC, AC-ASP",3.0
AS 262,Independent Study on South Asia,"AC, AC-ASP",3.0
AS 263,Readings on South Asia II,"AC-ASP, AC",3.0
AS 264,Special Topics: South Asia,"AC, AC-ASP",3.0
AS 265.1,Social and Economic Development in South Asia,"PSP, AC, AC-ASP",3.0
AS 265.3,Culture and Society in South Asia,"AC, AC-ASP, PSP",3.0
AS 280,Seminar on West Asia I,"AC-ASP, AC",3.0
AS 281,Seminar on West Asia II,"AC-ASP, AC",3.0
AS 282,Independent Study on West Asia,"AC-ASP, AC",3.0
AS 283,Readings on West Asia II,"AC-ASP, AC",3.0
AS 284,Special Topics: West Asia,"AC-ASP, AC",3.0
AS 285.1,Social and Economic Development in West Asia,"PSP, AC, AC-ASP",3.0
AS 285.2,Comparative Area Studies: Politics and Governance in West Asia,"AC, PSP, AC-ASP",3.0
AS 285.3,Culture and Society in West Asia,"PSP, AC, AC-ASP",3.0
AS 298,Special Topics: Asian Studies,"AC, AC-ASP",3.0
AS 299,Research Methods,"AC-ASP, AC",3.0
AS 300,Thesis in Asian Studies,"AC-ASP, AC",6.0
Accounting 1,Introduction to Financial Accounting,DAF,3.0
Acctg 1,Introduction to Financial Accounting,"DBA, AIT, SE, DAF, HRIM, DIE/OR, CPAGE",3.0
Anthro 10,"Bodies, Senses and Humanity",DAnthro,3.0
Anthro 100,General Anthropology,DAnthro,3.0
Anthro 101,Foundations of Biological Anthropology,DAnthro,3.0
Anthro 101.1,Foundations of Biological Anthropology Laboratory,DAnthro,1.0
Anthro 104,Human Evolution,DAnthro,3.0
Anthro 111,Introduction to Archaeology,DAnthro,3.0
Anthro 111.1,Introduction to Archaeology Laboratory,DAnthro,1.0
Anthro 112,World Cultural History,DAnthro,3.0
Anthro 114,Archaeology of Southeast Asia and Oceania,DAnthro,3.0
Anthro 115,Philippine Archaeology,DAnthro,3.0
Anthro 118,Prehistory of the Philippines,DAnthro,3.0
Anthro 119,Introduction to Museology,DAnthro,3.0
Anthro 120,Special Problems in Museology,DAnthro,3.0
Anthro 123,Peoples of the Philippines,DAnthro,3.0
Anthro 124,Peoples of Southeast Asia and Oceania,DAnthro,3.0
Anthro 126,Social and Economic Life of Philippine Mountain Peoples,DAnthro,3.0
