course_code,course_title,offering_unit,units
Econ 190.1,"International Trade, Payments, and Development Policy",SE,3.0
Econ 190.2,"Monetary, Fiscal and Development Policy",SE,3.0
Econ 191,Development Economics,SE,3.0
Econ 196,Urban and Regional Economics,SE,3.0
Econ 198,Special Topics in Economics,SE,3.0
Econ 199,Seminar,SE,3.0
Econ 201,Macroeconomic Theory I,SE,3.0
Econ 202,Microeconomic Theory I,SE,3.0
Econ 203,Macroeconomic Theory II,SE,3.0
Econ 204,Microeconomic Theory II,SE,3.0
Econ 206,Mathematical Economics,SE,3.0
Econ 207,Special Topics in Mathematical Economics,SE,3.0
Econ 209,History of Economic Thought,SE,3.0
Econ 211,Economic History,SE,3.0
Econ 221,Monetary Economics,SE,3.0
Econ 222,Advanced Monetary Economics,SE,3.0
Econ 231,Economic Statistics,SE,3.0
Econ 232,Econometrics I,SE,3.0
Econ 233,Econometrics II,SE,3.0
Econ 241,International Economics,SE,3.0
Econ 242,Advanced International Economics,SE,3.0
Econ 243,Special Topics in International Economics,SE,3.0
Econ 251,Public Economics,SE,3.0
Econ 252,Advanced Public Economics,SE,3.0
Econ 271,Economics of Agriculture,SE,3.0
Econ 275,Natural Resource and Environmental Economics,SE,3.0
Econ 281,Human Resource Economics,SE,3.0
Econ 282,Special Topics in Human Resource Economics,SE,3.0
Econ 283,Economics of Population,SE,3.0
Econ 286,Health Economics,SE,3.0
Econ 287,Special Topics in Health Economics,SE,3.0
Econ 291,Development Economics I,SE,3.0
Econ 293,Special Topics in Development Economics,SE,3.0
Econ 295,Reading Course in Graduate Economics,SE,3.0
Econ 296,Urban and Regional Economics,SE,3.0
Econ 298,Special Studies in Economics,SE,3.0
Econ 299,Research Seminar I,"SE, SE",3.0
Econ 300,Master's Thesis,"SE, SE",3.0
Econ 301,Advanced Macroeconomic Theory,SE,3.0
Econ 302,Advanced Microeconomic Theory,SE,3.0
Econ 400,Dissertation,SE,6.0
EDUC 101,Alternative Learning Delivery Systems,DCI,3.0
EgyE 101,Introduction to Energy Engineering,"EEEP, EgyE",3.0
EgyE 197,Special Topics,"EEEP, EgyE",3.0
EgyE 201,"Energy Resources, Uses and Systems","EEEP, EgyE",3.0
EgyE 205,Energy Engineering Laboratory,"EEEP, EgyE",1.0
EgyE 211,Energy Conservation,"EgyE, EEEP",3.0
EgyE 221,Solar Energy I,"EEEP, EgyE",3.0
EgyE 222,Biomass Energy,"EEEP, EgyE",3.0
EgyE 223,"Wind, Hydro, and Ocean Energy Systems","EgyE, EEEP",3.0
EgyE 225,Nuclear Energy,"EgyE, EEEP",3.0
EgyE 231,Energy Economics and Systems Evaluation,"EEEP, EgyE",3.0
EgyE 235,Energy Technology Assessment,"EEEP, EgyE",3.0
EgyE 236,Energy Systems Modeling,"EEEP, EgyE",3.0
EgyE 251,Energy Planning,"EEEP, EgyE",3.0
EgyE 273,Power Plant Technology,"EEEP, EgyE",3.0
EgyE 290,Special Project,"EEEP, EgyE",3.0
EgyE 296,Seminar,"EEEP, EgyE",1.0
EgyE 297,Special Topics,"EEEP, EgyE",3.0
EgyE 298,Special Problems,"EEEP, EgyE",3.0
EgyE 300,Master's Thesis,"EEEP, EgyE",3.0
EgyE 320,Energy Resource Assessment,"EgyE, EEEP",3.0
EgyE 321,Solar Energy II,"EEEP, EgyE",3.0
EgyE 322,Advanced Biomass Energy,"EEEP, EgyE",3.0
EgyE 323,"Advanced Wind, Hydro and Ocean Energy Conversion Systems","EEEP, EgyE",3.0
EgyE 324,Geothermal Energy,"EEEP, EgyE",3.0
EgyE 332,Energy Optimization and System Dynamics,"EgyE, EEEP",3.0
EgyE 400,PhD Dissertation,"EEEP, EgyE",3.0
EnE 31,Technology and Environment,"DChE, EnE",3.0
EnE 202,Research Methods in Environmental Engineering,EnE,3.0
EnE 203,Introduction to Environmental Engineering,"EEEP, EnE",4.0
EnE 205,Environmental Engineering Laboratory I,"EEEP, EnE",3.0
EnE 210,Water Quality Control and Management,"EEEP, EnE",3.0
EnE 212,Wastewater Disposal and Treatment,"EEEP, EnE",3.0
EnE 213,Biological Treatment Process Design,"EEEP, EnE",3.0
EnE 214,Chemical Treatment Process Design,"EEEP, EnE",3.0
EnE 215,Advanced Water Treatment Process,"EEEP, EnE",3.0
EnE 216,Water Safety and Distribution,EnE,3.0
EnE 218,Surface-Chemical Technologies for Environmental Application,EnE,3.0
EnE 252,Indoor Air Quality Management,EnE,3.0
EnE 253,Air Quality Monitoring and Modeling,"EEEP, EnE",3.0
EnE 254,Air Quality Control and Management,"EEEP, EnE",3.0
EnE 260,Fundamentals of Geoenvironmental Engineering,EnE,3.0
EnE 261,Soil and Groundwater Remediation Technologies,EnE,3.0
EnE 270,Solid Waste Disposal and Management,"EEEP, EnE",3.0
EnE 270,Solid Waste Disposal and Management,"EEEP, EnE",3.0
EnE 272,Landfill Design and Operation,EnE,3.0
EnE 280,Environmental Impact Assessment,"EEEP, EnE",3.0
EnE 280,Environmental Impact Assessment,"EEEP, EnE",3.0
EnE 281,Decision Analysis for Environmental Engineering,EnE,3.0
EnE 282,Environmental Decision Support Systems,EnE,3.0
EnE 283,Disaster Risk Management,EnE,3.0
EnE 296,Seminar,"EEEP, EnE",1.0
EnE 298,Special Problems,"EEEP, EnE",3.0
EnE 300,Thesis,"EnE, EEEP",6.0
EnE 302,Chemical Processes in Environmental Engineering,EnE,3.0
EnE 303,Biological Processes in Environmental Engineering,EnE,3.0
EnE 304,Numerical Solutions in Environmental Engineering,EnE,3.0
EnE 305,Environmental Modeling,EnE,3.0
EnE 372,Hazardous Waste Management,EnE,3.0
EnE 382,Environmental Health Engineering,EnE,3.0
EnE 400,PhD Dissertation,EnE,12.0
Eng 1,Basic College English,DECL,3.0
Eng 11,Literature and Society,DECL,3.0
Eng 12,World Literatures,DECL,3.0
Eng 13,Writing as Thinking,DECL,3.0
Eng 21,Survey of English Literature I,DECL,3.0
Eng 22,Survey of English Literature II,DECL,3.0
Eng 23,Introduction to Shakespeare,DECL,3.0
Eng 30,English for the Professions,DECL,3.0
Eng 41,Survey of American Literature I,DECL,3.0
Eng 42,Survey of American Literature II,DECL,3.0
Eng 100,Study of the English Language,DECL,3.0
Eng 101,Introduction to British Literary History,DECL,3.0
Eng 102,Development of the English Language,DECL,3.0
Eng 103,Introduction to American Literary History,DECL,3.0
Eng 104,Levels of English Language Use,DECL,3.0
Eng 106,Language Theory and Language Awareness,DECL,3.0
Eng 116,Structure of English I: Phonetics and Phonology,DECL,3.0
Eng 117,Structure of English II: Morphology and Syntax,DECL,3.0
Eng 118,English Semantics,DECL,3.0
Eng 119,English Discourse,DECL,3.0
Eng 120,Stylistics,DECL,3.0
Eng 122,Old English and Medieval Literature,DECL,3.0
Eng 123,Elizabethan Literature,DECL,3.0
Eng 125,Metaphysical and Restoration Literature,DECL,3.0
Eng 127,Romantic Literature,DECL,3.0
Eng 129,Victorian Literature,DECL,3.0
Eng 131,Modern British Literature,DECL,3.0
Eng 132,Contemporary British Literature,DECL,3.0
Eng 133,Literatures from the British Commonwealth Countries and Former British Colonies,DECL,3.0
Eng 142,The American Romantics,DECL,3.0
Eng 143,Early 20th Century American Literature,DECL,3.0
Eng 144,Current 20th Century American Literature,DECL,3.0
Eng 146,New Genres in Anglo-American Literature,DECL,3.0
Eng 147,The Tradition of Women's Writing in Anglo-American Literature,DECL,3.0
Eng 148,Asian Voices in Anglo-American Literature,DECL,3.0
Eng 158,Registers of English,DECL,3.0
Eng 191,Approaches to a College English Program,DECL,3.0
Eng 195,Ethnic American Literature,DECL,3.0
Eng 197,Special Topics,DECL,3.0
Eng 198,Selected Topics,DECL,3.0
Eng 199,Research,DECL,3.0
Eng 200,Undergraduate Thesis,DECL,3.0
Eng 204,History of the English Language,DECL,3.0
Eng 206,The Structure of English,DECL,3.0
Eng 207,Advanced Semantics,DECL,3.0
Eng 208,Discourse Analysis,DECL,3.0
Eng 210,Language and Literature,DECL,3.0
Eng 212,English Drama,DECL,3.0
Eng 213,Shakespeare,DECL,3.0
Eng 214,Shakespeare,DECL,3.0
Eng 217,The English Novel,DECL,3.0
Eng 223,English Poetry,DECL,3.0
Eng 233,Chaucer,DECL,3.0
Eng 235,The Life and Works of Milton,DECL,3.0
Eng 243,American Literature: 1900-1944,DECL,3.0
Eng 244,Current American Literature from 1945 to the Present,DECL,3.0
Eng 245,The American Novel,DECL,3.0
Eng 246,Gender and Genre in Anglo-American Women's Writing,DECL,3.0
Eng 251,Readings in New English Literatures,DECL,3.0
Eng 260,Variations of Native and Non-native English,DECL,3.0
Eng 261,Critical Survey of Language Theories,DECL,3.0
Eng 262,The Study of Rhetoric,DECL,3.0
Eng 290,Sociolinguistics and Literature,DECL,3.0
Eng 295,Colloquium: Contemporary Issues and Problems in Language and Literature in the  Philippine Setting,DECL,3.0
Eng 298,Directed Reading,DECL,3.0
Eng 299,Bibliography and Methods of Research,DECL,3.0
Eng 300,Master's Thesis,DECL,3.0
Eng 305,Seminar: Language and Cognition,DECL,3.0
Eng 310,Seminar: English Language and Culture,DECL,3.0
Eng 311,Seminar: Language and Gender,DECL,3.0
Eng 315,Seminar: Semiotics,DECL,3.0
Eng 316,Seminar: Language Theories,DECL,3.0
Eng 317,Seminar: Pragmatics,DECL,3.0
Eng 320,Seminar: Discourse Stylistics and the Media,DECL,3.0
Eng 335,Seminar: Critique of Philippine Literary Works in English Translation,DECL,3.0
Eng 356,Seminar: Rhetorical Theory,DECL,3.0
Eng 357,Seminar in Language and Literature,DECL,3.0
Eng 360,Seminar in Medieval English Literature,DECL,3.0
Eng 361,Seminar in Renaissance English Literature,DECL,3.0
Eng 362,Seminar in 17th Century English Literature,DECL,3.0
Eng 364,Seminar in 19th Century British Literature,DECL,3.0
Eng 365,Seminar in Contemporary British Literature,DECL,3.0
Eng 371,Seminar in American Literature,DECL,3.0
Eng 391,Seminar in British Literature,DECL,3.0
Eng 398,Special Problems in Literature,DECL,3.0
Eng 399,Research,DECL,3.0
Eng 400,PhD Dissertation,DECL,12.0
Engg 150,Introduction to Technology Entrepreneurship,"DIE/OR, DGE",3.0
Env Sci 1,Environment and Society,IESM,3.0
Env Sci 201,Fundamentals of Environmental Science I,IESM,3.0
Env Sci 202,Fundamentals of Environmental Science II,IESM,3.0
Env Sci 211,Computational Methods in Environmental Science,IESM,3.0
Env Sci 212,Environmental Problems and Issues,IESM,3.0
Env Sci 221,Environmental Biology,IESM,3.0
Env Sci 225.1,Terrestrial Ecology Sampling Techniques,IESM,1.0
Env Sci 226.1,Aquatic Ecology Sampling Techniques,IESM,1.0
Env Sci 227,Quantitative Ecology,IESM,3.0
Env Sci 228,Environmental Biotechnology,IESM,3.0
Env Sci 232.1,Water Quality Sampling Techniques,IESM,1.0
Env Sci 233,Environmental Toxicology,IESM,3.0
Env Sci 241,Geological Hazards,IESM,3.0
Env Sci 262,Water Quality Modeling,IESM,3.0
Env Sci 263.1,Air Quality Sampling Techniques,IESM,1.0
Env Sci 265,Applications of Remote Sensing to Environmental Science,IESM,3.0
Env Sci 265.1,Remote Sensing Techniques,IESM,1.0
Env Sci 271,Principles of Photonic Techniques for Environmental Monitoring,IESM,3.0
Env Sci 271.1,Photonic Techniques,IESM,1.0
Env Sci 282,"Environmental Planning, Risk and Impact Assessment",IESM,3.0
Env Sci 296,Seminar,IESM,1.0
Env Sci 296,Seminar,IESM,1.0
Env Sci 297,Special Topics,IESM,3.0
Env Sci 299,Independent Masteral Study,IESM,3.0
Env Sci 300,Masteral Thesis,IESM,3.0
Env Sci 395,Advanced Studies in Environmental Science,"ESP, IESM",4.0
Env Sci 399,Independent Doctoral Study,IESM,3.0
Env Sci 400,Doctoral Dissertation,IESM,3.0
Env Sci 400,Doctoral Dissertation,IESM,3.0
Esp 201,Historia de la Lengua Española,DEL,3.0
Esp 202,Fonetica y Fonologia Españolas,DEL,3.0
Esp 204,Morfologia y Sintaxis Avanzadas,DEL,3.0
Esp 205,Estilistica Española,DEL,3.0
Esp 206,Semantica Española,DEL,3.0
Esp 210,Analisis del discurso,DEL,3.0
Esp 220,Tradicion Literaria Española,DEL,3.0
Esp 242,Tradicion Literaria Hispanoamericana,DEL,3.0
Esp 251,Tradicion Literaria Filipinohispana,DEL,3.0
Esp 253,Autores Filipinohispanos I,DEL,3.0
Esp 255,Autores Filipinohispanos II,DEL,3.0
Esp 257,Periodismo Filipinohispano,DEL,3.0
Esp 268,Pensamiento y Filosofia Españoles,DEL,3.0
Esp 280,La Enseñanza de la Lengua Española,DEL,3.0
Esp 299,Tecnicas de Investigacion,DEL,3.0
Esp 300,Tesis,DEL,3.0
Esp 305,Teoria Literaria I,DEL,3.0
Esp 306,Teoria Literaria II,DEL,3.0
Esp 321,Curso Monografico: Cultura,DEL,3.0
Esp 322,Curso Monografico: Literatura,DEL,3.0
Esp 324,Curso Monografico: Lengua,DEL,3.0
Esp 350,Romance Español,DEL,3.0
Esp 352,Siglo de Oro Espa√±ol,DEL,3.0
Esp 353,Don Quijote de la Mancha,DEL,3.0
Esp 356,Romanticismo en la Literatura Espa√±ola,DEL,3.0
Esp 360,La Generacion del '98,DEL,3.0
Esp 400,Tesis Doctoral,DEL,3.0
Ethics 1,Ethics and Moral Reasoning in Everyday Life,Philo,3.0
FA 10,Visual Perception,"SA, VC",3.0
FA 11,Visual Communication I,"VC, SA",3.0
FA 12,Techniques I,"SA, VC",3.0
FA 13,Techniques II,"SA, VC",3.0
FA 14,Materials I,"VC, SA",3.0
FA 15,Materials II,"SA, VC",3.0
FA 16,Western Art History,Theory,3.0
FA 17,Philippine Art History,Theory,3.0
FA 18,Asian Art History,Theory,3.0
FA 28,Arts in the Philippines,Theory,3.0
FA 30,Art Pleasures,Theory,3.0
FA 100,Introduction to Computer Art and Design,"VC, SA",3.0
FA 133,TV and Film Graphics,VC,3.0
FA 144,Editorial Design III,VC,3.0
FA 152,Art in the Ancient World,"VC, Theory",3.0
FA 160,Baroque Art,Theory,3.0
FA 174,Principles of Japanese Art,VC,3.0
FA 199,Research Methods,"Theory, VC, SA",3.0
FA 200,Thesis,"Theory, Theory, SA, Theory, SA, SA",3.0
FA 201,Theories in Art Practice 1,GRADUATE,3.0
FA 202,Theories in Art Practice 2,GRADUATE,3.0
FA 202,Advanced Art Theory in 3D Art,GRADUATE,3.0
FA 203,Visual Communication Theories in the Visual Arts,GRADUATE,3.0
FA 211,Problems of Structure in Art Production,GRADUATE,3.0
FA 213,Art Seminar (Foreign Influences on Philippine Art Late 1800-1942),GRADUATE,3.0
FA 215,Production of Space in the Visual Arts,GRADUATE,3.0
FA 221,Contemporary Approaches in Art Production ,GRADUATE,3.0
FA 233,Applied Visual Communication,GRADUATE,3.0
FA 233,Art Seminar (Special Problems on the Exploration and Utilization of Visual Communication Materials and Techniques),GRADUATE,3.0
FA 235,Art Seminar (Advanced Experimentation on Possibilities of Integration of Different Art Materials and Techniques into One Art Structure),GRADUATE,3.0
FA 235,Directed Art Production and Research,GRADUATE,3.0
FA 236,Art Production and Research Colloquium ,GRADUATE,3.0
FA 241,Workshop in Advanced Photography,GRADUATE,3.0
FA 300,Thesis,GRADUATE,6.0
FLCD 100,Introduction to Family Life and Child Development,FLCD,3.0
FLCD 101,Development from Prenatal Stage to Middle  Childhood,FLCD,3.0
FLCD 102,Development from Adolescence to Adulthood,FLCD,4.0
FLCD 124,Child Development Programs,FLCD,3.0
FLCD 125,Marriage and Family Relations,FLCD,3.0
FLCD 126,Integrated Core Curriculum: Principles and Development,FLCD,3.0
FLCD 127,Parent-Child Relations,FLCD,3.0
FLCD 128,Creative Learning Experiences for Preschool Children,FLCD,3.0
FLCD 131,Family Life Education Programs,FLCD,3.0
FLCD 132,Assessment of Children,FLCD,4.0
FLCD 133,Home Management,FLCD,3.0
FLCD 136,Practicum I ,FLCD,6.0
FLCD 139,Practicum II,FLCD,4.0
FLCD 172,Practicum I,FLCD,3.0
FLCD 174,Practicum II,FLCD,3.0
FLCD 175,Home Management,FLCD,4.0
FLCD 188,Management of Programs for Preschool Children,FLCD,3.0
FLCD 196,Management of Child Development Programs,FLCD,3.0
FLCD 197,Special Topics in Family Life and Child Development,FLCD,3.0
FLCD 199,Research Methods in Family Life and Child Development,FLCD,3.0
FLCD 200,Undergraduate Thesis,FLCD,3.0
FLCD 201,Advanced Studies on Childhood,FLCD,3.0
FLCD 202,Physical Development and Biological Foundations in Childhood,FLCD,3.0
FLCD 203,Social and Affective Development in Childhood,FLCD,3.0
FLCD 204,Cognitive Development in Childhood,FLCD,3.0
FLCD 207,"Advanced Studies on Adolescence, Adulthood and the Elderly",FLCD,3.0
FLCD 209,Family Dynamics,FLCD,3.0
FLCD 211,Filipino Families,FLCD,3.0
FLCD 213,Family Development,FLCD,3.0
FLCD 221,Infant and Toddler Development Programs,FLCD,3.0
FLCD 223,Child Development Programs,FLCD,3.0
FLCD 225,Management of Child Development Programs,FLCD,3.0
FLCD 227,Family Programs,FLCD,3.0
FLCD 274,Practicum,FLCD,3.0
FLCD 299,Research Methods,FLCD,3.0
FLCD 300,Master's Thesis,FLCD,6.0
FN 1,Food Trip,DFSN,3.0
FN 24,Dietary Patterns,DFSN,4.0
FN 101,Introduction to Community Nutrition,DFSN,2.0
FN 102,Principles of Food Preparation,DFSN,3.0
FN 110,"Food, Nutrition and Society",DFSN,3.0
FN 117,Food Service Management I,DFSN,3.0
FN 121,Physiological Aspect of Nutrition,DFSN,3.0
FN 122,Principles of Nutrition,DFSN,3.0
FN 123,Nutritional Assessment and Epidemiology ,DFSN,4.0
FN 124,Nutrition for the At-Risk Groups,DFSN,3.0
FN 125,Medical Nutrition Therapy,DFSN,5.0
FN 126,Diet Therapy II,DFSN,12.0
FN 126,Hospital Dietetics Practicum,DFSN,12.0
FN 131,Dietary Patterns,DFSN,4.0
FN 132,Fundamentals of Food Technology,DFSN,4.0
FN 133,Nutrition in Food Service Operations,DFSN,3.0
FN 134,Nutrition in Food Service Management,DFSN,3.0
FN 136,Nutrition in Food Service Practicum,DFSN,6.0
FN 141,Nutrition Education and Training,DFSN,2.0
FN 141.1,Nutrition Education and Training Laboratory,DFSN,2.0
FN 142,Program Management in Nutrition,DFSN,2.0
FN 146,Community Nutrition in Practice,DFSN,6.0
FN 165.1,Nutrition Education and Training II,DFSN,2.0
FN 176,Community Nutrition in Practice,DFSN,6.0
FN 190,Seminar in Nutrition,DFSN,1.0
FN 199,Food and Nutrition Research,DFSN,3.0
FN 200,Undergraduate Thesis,DFSN,3.0
FS 101,Introduction to Food Technology,DFSN,1.0
FS 105,Principles and Methods of Food Hygiene and Sanitation,DFSN,3.0
FS 106,General Microbiology,DFSN,5.0
FS 110,Environmental Sustainability in the Food Supply Chain,DFSN,3.0
FS 116,Food Microbiology,DFSN,5.0
FS 117,Postharvest Technologies: Principles and Practice,DFSN,3.0
FS 122,Food Physics,DFSN,4.0
FS 124,Food Chemistry I,DFSN,3.0
FS 127,Food Processing I,DFSN,3.0
FS 128,Food Processing II,DFSN,3.0
FS 131,Sensory Evaluation of Foods,DFSN,4.0
FS 134,Food Chemistry II,DFSN,3.0
FS 135,Physico-Chemical Analysis of Foods,DFSN,5.0
FS 141,Food Legislation,DFSN,3.0
FS 144,Physico-Chemical Analysis of Food,DFSN,5.0
FS 149,Applied Statistics and Experimental Design in Food Research,DFSN,3.0
FS 152,Food Engineering I,DFSN,3.0
FS 157,Food Packaging and Labeling,DFSN,3.0
FS 159,Quality Assurance in the Food Industry,DFSN,3.0
FS 178,Practicum I (Pilot Scale),DFSN,3.0
FS 179,Practicum,DFSN,6.0
FS 179,Practicum II (Commercial Scale),DFSN,6.0
FS 197,Special Topics in Food Science and Technology,DFSN,3.0
FS 197,Internship in the Food Industries,DFSN,3.0
FS 199,Research Methods in Food Science and Technology,DFSN,3.0
FS 200,Undergraduate Thesis,DFSN,3.0
FS 200,Bachelor's Thesis,DFSN,3.0
FS 215,Advanced Food Analysis,DFSN,3.0
FS 216,Advanced Food Microbiology,DFSN,3.0
FS 217,Sterilization Processes,DFSN,3.0
FS 218,Dehydration and Freezing,DFSN,3.0
FS 231,Sensory Evaluation Methods,DFSN,2.0
FS 234,Tropical Fruit and Vegetable Processing,DFSN,3.0
FS 236,Industrial Food Fermentation,DFSN,3.0
FS 238,Development of Protein-Rich Products,DFSN,2.0
FS 257,Meat and Dairy Technology,DFSN,3.0
FS 286,Special Problems in Food Science,DFSN,2.0
FS 290,Seminar in Food Science,DFSN,1.0
FS 291,Advanced Food Biochemistry,DFSN,3.0
FS 299,Methods of Research in Foods,DFSN,2.0
FS 300,Master's Thesis,DFSN,6.0
FS 311,Food Enzymes,DFSN,4.0
FS 316,Food Poisoning,DFSN,3.0
FS 317,Food Packaging,DFSN,3.0
FS 321,Food Lipids,DFSN,3.0
FS 326,Low Temperature Microbiology,DFSN,3.0
FS 331,Accessory Components of Foods,DFSN,3.0
FS 336,Biochemistry of Food Fermentation,DFSN,3.0
FS 337,Product Development,DFSN,3.0
FS 341,Colloidal Chemistry in Foods,DFSN,3.0
FS 357,Food Plant Organization and Management,DFSN,3.0
FSA 290,Special Topics,HRIM,2.0
FSA 300,Master's Thesis,HRIM,6.0
Fil 3,Pakikipag-usap sa Filipino,DFPP,3.0
Fil 4,Pakikipag-usap sa Filipino,DFPP,3.0
Fil 10.1,Pagbasa at Pagsulat sa mga Wika ng Pilipinas Maliban sa Tagalog,DFPP,3.0
Fil 10.2,Pagbasa at Pagsulat sa mga Wika ng Pilipinas,DFPP,3.0
Fil 18,Oryentasyong Filipino sa Akademikong Pagsulat,DFPP,3.0
Fil 20,Introduksiyon sa Literatura,DFPP,3.0
Fil 25,Mga Ideya at Estilo Ukol sa Sanaysay,DFPP,3.0
Fil 30,Intelektuwalisasyon ng Filipino sa mga Pananaliksik sa Akademikong Disiplina,DFPP,3.0
Fil 40,"Wika, Kultura, at Lipunan",DFPP,3.0
Fil 50,Introduksiyon sa Panitikan ng Pilipinas,DFPP,3.0
Fil 103,Istruktura ng Filipino,DFPP,3.0
Fil 104,Gramar ng mga Wika ng Pilipinas,DFPP,3.0
Fil 105,Mga Tunguhin at Tradisyon sa Analisis ng Gramar,DFPP,3.0
Fil 115,Mga Barayti at Baryasyon ng Filipino,DFPP,3.0
Fil 128,Mga Natatanging Diskurso sa Wika at Lipunan,DFPP,3.0
Fil 155,Kasaysayan at Pag-unlad ng Wikang Pambansa ng Pilipinas,DFPP,3.0
Fil 175,Leksikograpi,DFPP,3.0
Fil 180,Pagsasalin,DFPP,3.0
Fil 195,Sikolohiya ng Wikang Filipino,DFPP,3.0
Fil 197,Mga Natatanging Suliranin,DFPP,3.0
Fil 198,Natatanging Suliranin,DFPP,3.0
Fil 199,Pananaliksik,DFPP,3.0
Fil 200,Tesis,DFPP,3.0
Fil 201,Kasaysayan ng mga Pag-aaral na Gramatikal ng Wikang Pambansa,DFPP,3.0
Fil 203,"Maunlad na Gramar, Ponoloji, Morpoloji at Sintaks ng Filipino",DFPP,3.0
Fil 207,Mga Gramar ng mga Wika ng Pilipinas I,DFPP,3.0
Fil 208,Mga Gramar ng mga Wika ng Pilipinas II,DFPP,3.0
Fil 220,Leksikograpi ng Filipino,DFPP,3.0
Fil 221,Gramatika ng Wikang Pambansa,DFPP,3.0
Fil 225,Sitwasyong Pangwika sa Pilipinas,DFPP,3.0
Fil 245,Pagpaplanong Pangwika sa Pilipinas,DFPP,3.0
Fil 280,Mga Pagsasalin sa Pilipinas I,DFPP,3.0
Fil 281,Mga Pagsasalin sa Pilipinas II,DFPP,3.0
Fil 287,Mga Lapit sa Pagsasaling Pampanitikan,DFPP,3.0
Fil 290,Mga Lapit sa Pagsasaling Teknikal,DFPP,3.0
Fil 298,Natatanging Suliranin,DFPP,3.0
Fil 299,Pananaliksik,DFPP,3.0
Fil 300,Tesis,DFPP,6.0
Fil 301,Seminar: Analisis ng Istruktura ng Filipino,DFPP,3.0
Fil 306,Seminar: Mga Piling Akda sa Gramar,DFPP,3.0
Fil 310,Seminar: Analisis ng Ponoloji at Morpoloji ng Filipino,DFPP,3.0
Fil 311,Seminar: Analisis ng Sintaks at Semantiks ng Filipino,DFPP,3.0
Fil 315,Seminar: Mga Barayti at Baryasyon ng Filipino,DFPP,3.0
Fil 320,Seminar: Mga Piling Diksyunaryo,DFPP,3.0
Fil 325,Seminar: Wika at Pulitika,DFPP,3.0
Fil 345,Pagpaplanong Pangwika sa Filipino: Mga Teorya at Modelo,DFPP,3.0
Fil 350,Komparatibong Pagpaplanong Pangwika,DFPP,3.0
Fil 353,Seminar: Leksikal at Semantikal na Pagpapaunlad ng Filipino,DFPP,3.0
Fil 380,Pagsasalin: Mga Teorya at Metodoloji,DFPP,3.0
Fil 381,Seminar: Mga Pagsasalin sa Pilipinas,DFPP,3.0
Fil 387,Pagsasaling Pampanitikan,DFPP,3.0
Fil 390,Pagsasaling Teknikal,DFPP,3.0
Fil 394,Mga Babasahin sa Wikang Filipino,DFPP,3.0
Fil 397,Mga Natatanging Paksa,DFPP,3.0
Fil 400,Disertasyon,DFPP,12.0
Film 10,Sining Sine,DFAVC,3.0
Film 12,Sine Pinoy,DFAVC,3.0
Film 100,Introduction to Film,DFAVC,3.0
Film 101,Introduction to Film Production,DFAVC,3.0
Film 102,History of Philippine Cinema,DFAVC,3.0
Film 103,History of World Cinema,DFAVC,3.0
Film 106,National and Transnational Cinemas,DFAVC,3.0
Film 110,Basic Photography,DFAVC,3.0
Film 112,Advanced Photography,DFAVC,3.0
Film 130,Film Genres,DFAVC,3.0
Film 131,Narrative Film,DFAVC,3.0
Film 132,Documentary Film,DFAVC,3.0
Film 133,Experimental Film,DFAVC,3.0
Film 134,Animation Film,DFAVC,3.0
Film 135,Acting,DFAVC,3.0
Film 151,Scriptwriting I,DFAVC,3.0
Film 152,Scriptwriting II,DFAVC,3.0
Film 153,Cinematography,DFAVC,3.0
Film 154,Editing,DFAVC,3.0
Film 156,Production Design,DFAVC,3.0
Film 157,Film Sound and Music Scoring,DFAVC,3.0
Film 158,Directing,DFAVC,3.0
Film 159,Producing,DFAVC,3.0
Film 171,Film Theory and Criticism I,DFAVC,3.0
Film 172,Film Theory and Criticism II,DFAVC,3.0
Film 175,Film and Literature,DFAVC,3.0
Film 176,Film and the Other Arts,DFAVC,3.0
Film 177,Women in Cinema,DFAVC,3.0
Film 178,Queer Cinema,DFAVC,3.0
Film 180,Film Seminar ,DFAVC,3.0
Film 183,Film Seminar,DFAVC,3.0
Film 196,Special Topics,DFAVC,3.0
Film 197,Special Projects,DFAVC,3.0
Film 198,Internship,DFAVC,3.0
Film 199,Research in Film,DFAVC,3.0
Film 200,Thesis,DFAVC,3.0
Film 201,Seminar in Film Studies,GRADUATE,3.0
Film 203,Film Scriptwriting,GRADUATE,3.0
Film 205,Narrative Film,GRADUATE,3.0
Film 220,Advanced Documentary Film Production,GRADUATE,3.0
Film 225,Digital Content Creation,GRADUATE,3.0
Film 230,Production and Post-Production Processes,GRADUATE,3.0
Film 240,Cinema and Nation,GRADUATE,3.0
Film 258,Directing the Narrative Film,GRADUATE,3.0
Film 260,Film Historiography,GRADUATE,3.0
Film 269,"Cinema, Gender, and Other Identities",GRADUATE,3.0
Film 270,Advanced Film Theory and Criticism,GRADUATE,3.0
Film 280,The Philippine Film Industry,GRADUATE,3.0
Film 281,Alternative Film Practices,GRADUATE,3.0
Film 297,Special Topics,"GRADUATE, DFAVC",3.0
Film 299,Historical and Critical Research Methods in Film,GRADUATE,3.0
Film 300,Thesis,"DFAVC, GRADUATE",3.0
Franc 201,Histoire de la Civilisation Francaise,DEL,3.0
Franc 210,Histoire de la Litterature Francaise,DEL,3.0
Franc 250,Traduction des Textes Non-Litteraires (Science et Technologie),DEL,3.0
