,0
"('University of the Philippines College of Architecture', 'Computational Science Research Center')",848.3
"('University of the Philippines College of Architecture', 'UP College of Education')",1017.4
"('University of the Philippines College of Architecture', 'Department of Mining, Metallurgical and Materials Engineering (UP DMMME)')",673.5
"('University of the Philippines College of Architecture', 'Industrial Engineering - Mechanical Engineering Building')",1319.5
"('University of the Philippines College of Architecture', 'Institute of Environmental Science and Meteorology')",775.8
"('University of the Philippines College of Architecture', 'UP Child Development Center')",1202.3
"('University of the Philippines College of Architecture', 'Alonso Hall')",1131.2
"('University of the Philippines College of Architecture', 'UP Department of Geodetics Engineering')",1313.5
"('University of the Philippines College of Architecture', 'University of the Philippines Center for International Studies')",895.9
"('University of the Philippines College of Architecture', 'National Institute of Geological Sciences')",699.3
"('University of the Philippines College of Architecture', 'UP College of Home Economics')",1185.3
"('University of the Philippines College of Architecture', 'UP Institute of Islamic Studies')",868.7
"('University of the Philippines College of Architecture', 'UP College of Law')",1301.5
"('University of the Philippines College of Architecture', 'National Institute of Molecular Biology and Biotechnology')",861.7
"('University of the Philippines College of Architecture', 'UP Department of Mechanical Engineering')",1090.2
"('University of the Philippines College of Architecture', 'UP Marine Science Institute')",526.8
"('University of the Philippines College of Architecture', 'Institute of Mathematics')",958.3
"('University of the Philippines College of Architecture', 'Alfredo V. Lagmay Hall')",964.3
"('University of the Philippines College of Architecture', 'UP School of Urban and Regional Planning')",880.1
"('University of the Philippines College of Architecture', 'UP Vanguard Building')",1198.9
"('University of the Philippines College of Architecture', 'University of the Philippines-Diliman Department of Sociology')",807.2
"('University of the Philippines College of Architecture', 'Bulwagang Silangang Palma')",926.5
"('University of the Philippines College of Architecture', 'UP School of Statistics New Building')",386.5
"('University of the Philippines College of Architecture', 'Technology Management Center - University of the Philippines')",1031.7
"('University of the Philippines College of Architecture', 'UP Asian Institute Of Tourism')",1379.1
"('University of the Philippines College of Mass Communication', 'UP Institute of Biology')",1405.6
"('University of the Philippines College of Mass Communication', 'University of the Philippines College of Social Work and Community Development')",315.6
"('University of the Philippines College of Mass Communication', 'UP Diliman Institute of Civil Engineering (UP-ICE)')",1441.4
"('University of the Philippines College of Mass Communication', 'Pavilion 1 - Palma Hall')",913.2
"('University of the Philippines College of Mass Communication', 'Crafts and Interior Design Laboratory')",1222.8
"('University of the Philippines College of Mass Communication', 'UP College of Home Economics Annex Building')",1446.1
"('University of the Philippines College of Mass Communication', 'UP Diliman Electrical and Electronics Engineering Institute')",1151.9
"('University of the Philippines College of Mass Communication', 'UP National College of Public Administration and Governance')",705.5
"('University of the Philippines College of Mass Communication', 'UP College of Human Kinetics')",546.0
"('University of the Philippines College of Mass Communication', 'University of the Philippines Diliman Institute of Chemistry - Teaching Building')",1570.9
"('University of the Philippines College of Mass Communication', 'University of the Philippines College of Engineering')",613.9
"('University of the Philippines College of Mass Communication', 'UP College of Music')",297.5
"('University of the Philippines College of Mass Communication', 'UP School of Economics')",982.9
"('University of the Philippines College of Mass Communication', 'UP College of Fine Arts')",722.6
"('University of the Philippines College of Mass Communication', 'Department of Chemical Engineering, University of the Philippines Diliman')",1589.3
"('University of the Philippines College of Mass Communication', 'Computational Science Research Center')",1433.3
"('University of the Philippines College of Mass Communication', 'UP College of Education')",1119.3
"('University of the Philippines College of Mass Communication', 'Department of Mining, Metallurgical and Materials Engineering (UP DMMME)')",1415.9
"('University of the Philippines College of Mass Communication', 'Industrial Engineering - Mechanical Engineering Building')",830.0
"('University of the Philippines College of Mass Communication', 'Institute of Environmental Science and Meteorology')",1463.5
"('University of the Philippines College of Mass Communication', 'UP Child Development Center')",1431.5
"('University of the Philippines College of Mass Communication', 'Alonso Hall')",1360.3
"('University of the Philippines College of Mass Communication', 'UP Department of Geodetics Engineering')",824.0
"('University of the Philippines College of Mass Communication', 'University of the Philippines Center for International Studies')",967.4
"('University of the Philippines College of Mass Communication', 'National Institute of Geological Sciences')",1387.0
"('University of the Philippines College of Mass Communication', 'UP College of Home Economics')",1414.5
"('University of the Philippines College of Mass Communication', 'UP Institute of Islamic Studies')",567.2
"('University of the Philippines College of Mass Communication', 'UP College of Law')",867.6
"('University of the Philippines College of Mass Communication', 'National Institute of Molecular Biology and Biotechnology')",1406.7
"('University of the Philippines College of Mass Communication', 'UP Department of Mechanical Engineering')",597.7
"('University of the Philippines College of Mass Communication', 'UP Marine Science Institute')",1098.4
"('University of the Philippines College of Mass Communication', 'Institute of Mathematics')",1646.1
"('University of the Philippines College of Mass Communication', 'Alfredo V. Lagmay Hall')",1035.8
"('University of the Philippines College of Mass Communication', 'UP School of Urban and Regional Planning')",449.0
"('University of the Philippines College of Mass Communication', 'UP Vanguard Building')",384.1
"('University of the Philippines College of Mass Communication', 'University of the Philippines-Diliman Department of Sociology')",1008.7
"('University of the Philippines College of Mass Communication', 'Bulwagang Silangang Palma')",1101.4
"('University of the Philippines College of Mass Communication', 'UP School of Statistics New Building')",1138.4
"('University of the Philippines College of Mass Communication', 'Technology Management Center - University of the Philippines')",1719.5
"('University of the Philippines College of Mass Communication', 'UP Asian Institute Of Tourism')",882.4
"('UP Institute of Biology', 'University of the Philippines College of Social Work and Community Development')",1652.8
"('UP Institute of Biology', 'UP Diliman Institute of Civil Engineering (UP-ICE)')",835.0
"('UP Institute of Biology', 'Pavilion 1 - Palma Hall')",743.3
"('UP Institute of Biology', 'Crafts and Interior Design Laboratory')",673.6
"('UP Institute of Biology', 'UP College of Home Economics Annex Building')",145.0
"('UP Institute of Biology', 'UP Diliman Electrical and Electronics Engineering Institute')",396.5
"('UP Institute of Biology', 'UP National College of Public Administration and Governance')",1848.2
"('UP Institute of Biology', 'UP College of Human Kinetics')",1883.3
"('UP Institute of Biology', 'University of the Philippines Diliman Institute of Chemistry - Teaching Building')",278.2
"('UP Institute of Biology', 'University of the Philippines College of Engineering')",1005.7
"('UP Institute of Biology', 'UP College of Music')",1422.3
"('UP Institute of Biology', 'UP School of Economics')",710.4
"('UP Institute of Biology', 'UP College of Fine Arts')",1370.4
"('UP Institute of Biology', 'Department of Chemical Engineering, University of the Philippines Diliman')",819.5
"('UP Institute of Biology', 'Computational Science Research Center')",150.5
"('UP Institute of Biology', 'UP College of Education')",457.0
"('UP Institute of Biology', 'Department of Mining, Metallurgical and Materials Engineering (UP DMMME)')",615.6
"('UP Institute of Biology', 'Industrial Engineering - Mechanical Engineering Building')",1024.6
"('UP Institute of Biology', 'Institute of Environmental Science and Meteorology')",458.3
"('UP Institute of Biology', 'UP Child Development Center')",341.6
"('UP Institute of Biology', 'Alonso Hall')",270.5
"('UP Institute of Biology', 'UP Department of Geodetics Engineering')",1106.5
"('UP Institute of Biology', 'University of the Philippines Center for International Studies')",608.8
"('UP Institute of Biology', 'National Institute of Geological Sciences')",509.2
"('UP Institute of Biology', 'UP College of Home Economics')",324.7
"('UP Institute of Biology', 'UP Institute of Islamic Studies')",1679.0
"('UP Institute of Biology', 'UP College of Law')",747.0
"('UP Institute of Biology', 'National Institute of Molecular Biology and Biotechnology')",86.4
"('UP Institute of Biology', 'UP Department of Mechanical Engineering')",1133.7
"('UP Institute of Biology', 'UP Marine Science Institute')",471.8
"('UP Institute of Biology', 'Institute of Mathematics')",460.9
"('UP Institute of Biology', 'Alfredo V. Lagmay Hall')",540.5
"('UP Institute of Biology', 'UP School of Urban and Regional Planning')",1690.4
"('UP Institute of Biology', 'UP Vanguard Building')",1721.3
"('UP Institute of Biology', 'University of the Philippines-Diliman Department of Sociology')",621.4
"('UP Institute of Biology', 'Bulwagang Silangang Palma')",547.9
"('UP Institute of Biology', 'UP School of Statistics New Building')",811.2
"('UP Institute of Biology', 'Technology Management Center - University of the Philippines')",534.4
"('UP Institute of Biology', 'UP Asian Institute Of Tourism')",2189.4
"('University of the Philippines College of Social Work and Community Development', 'UP Diliman Institute of Civil Engineering (UP-ICE)')",1484.7
"('University of the Philippines College of Social Work and Community Development', 'Pavilion 1 - Palma Hall')",1160.4
"('University of the Philippines College of Social Work and Community Development', 'Crafts and Interior Design Laboratory')",1470.0
"('University of the Philippines College of Social Work and Community Development', 'UP College of Home Economics Annex Building')",1693.3
"('University of the Philippines College of Social Work and Community Development', 'UP Diliman Electrical and Electronics Engineering Institute')",1399.1
"('University of the Philippines College of Social Work and Community Development', 'UP National College of Public Administration and Governance')",452.4
"('University of the Philippines College of Social Work and Community Development', 'UP College of Human Kinetics')",368.4
"('University of the Philippines College of Social Work and Community Development', 'University of the Philippines Diliman Institute of Chemistry - Teaching Building')",1818.1
"('University of the Philippines College of Social Work and Community Development', 'University of the Philippines College of Engineering')",861.1
"('University of the Philippines College of Social Work and Community Development', 'UP College of Music')",332.4
"('University of the Philippines College of Social Work and Community Development', 'UP School of Economics')",1233.4
"('University of the Philippines College of Social Work and Community Development', 'UP College of Fine Arts')",765.9
"('University of the Philippines College of Social Work and Community Development', 'Department of Chemical Engineering, University of the Philippines Diliman')",1632.6
"('University of the Philippines College of Social Work and Community Development', 'Computational Science Research Center')",1680.5
"('University of the Philippines College of Social Work and Community Development', 'UP College of Education')",1366.5
"('University of the Philippines College of Social Work and Community Development', 'Department of Mining, Metallurgical and Materials Engineering (UP DMMME)')",1663.1
"('University of the Philippines College of Social Work and Community Development', 'Industrial Engineering - Mechanical Engineering Building')",828.7
"('University of the Philippines College of Social Work and Community Development', 'Institute of Environmental Science and Meteorology')",1710.7
"('University of the Philippines College of Social Work and Community Development', 'UP Child Development Center')",1678.7
"('University of the Philippines College of Social Work and Community Development', 'Alonso Hall')",1607.5
"('University of the Philippines College of Social Work and Community Development', 'UP Department of Geodetics Engineering')",822.7
"('University of the Philippines College of Social Work and Community Development', 'University of the Philippines Center for International Studies')",1214.6
"('University of the Philippines College of Social Work and Community Development', 'National Institute of Geological Sciences')",1634.2
"('University of the Philippines College of Social Work and Community Development', 'UP College of Home Economics')",1661.7
"('University of the Philippines College of Social Work and Community Development', 'UP Institute of Islamic Studies')",314.1
"('University of the Philippines College of Social Work and Community Development', 'UP College of Law')",1114.8
"('University of the Philippines College of Social Work and Community Development', 'National Institute of Molecular Biology and Biotechnology')",1653.9
"('University of the Philippines College of Social Work and Community Development', 'UP Department of Mechanical Engineering')",596.5
"('University of the Philippines College of Social Work and Community Development', 'UP Marine Science Institute')",1345.6
"('University of the Philippines College of Social Work and Community Development', 'Institute of Mathematics')",1893.3
"('University of the Philippines College of Social Work and Community Development', 'Alfredo V. Lagmay Hall')",1283.0
"('University of the Philippines College of Social Work and Community Development', 'UP School of Urban and Regional Planning')",195.9
"('University of the Philippines College of Social Work and Community Development', 'UP Vanguard Building')",379.2
"('University of the Philippines College of Social Work and Community Development', 'University of the Philippines-Diliman Department of Sociology')",1255.9
"('University of the Philippines College of Social Work and Community Development', 'Bulwagang Silangang Palma')",1348.6
"('University of the Philippines College of Social Work and Community Development', 'UP School of Statistics New Building')",1225.2
"('University of the Philippines College of Social Work and Community Development', 'Technology Management Center - University of the Philippines')",1966.7
"('University of the Philippines College of Social Work and Community Development', 'UP Asian Institute Of Tourism')",629.3
"('UP Diliman Institute of Civil Engineering (UP-ICE)', 'Pavilion 1 - Palma Hall')",794.7
"('UP Diliman Institute of Civil Engineering (UP-ICE)', 'Crafts and Interior Design Laboratory')",949.5
"('UP Diliman Institute of Civil Engineering (UP-ICE)', 'UP College of Home Economics Annex Building')",980.0
"('UP Diliman Institute of Civil Engineering (UP-ICE)', 'UP Diliman Electrical and Electronics Engineering Institute')",467.1
"('UP Diliman Institute of Civil Engineering (UP-ICE)', 'UP National College of Public Administration and Governance')",1446.6
"('UP Diliman Institute of Civil Engineering (UP-ICE)', 'UP College of Human Kinetics')",1526.9
"('UP Diliman Institute of Civil Engineering (UP-ICE)', 'University of the Philippines Diliman Institute of Chemistry - Teaching Building')",950.4
"('UP Diliman Institute of Civil Engineering (UP-ICE)', 'University of the Philippines College of Engineering')",1135.3
"('UP Diliman Institute of Civil Engineering (UP-ICE)', 'UP College of Music')",1473.7
"('UP Diliman Institute of Civil Engineering (UP-ICE)', 'UP School of Economics')",1478.4
"('UP Diliman Institute of Civil Engineering (UP-ICE)', 'UP College of Fine Arts')",929.3
"('UP Diliman Institute of Civil Engineering (UP-ICE)', 'Department of Chemical Engineering, University of the Philippines Diliman')",150.5
"('UP Diliman Institute of Civil Engineering (UP-ICE)', 'Computational Science Research Center')",822.6
"('UP Diliman Institute of Civil Engineering (UP-ICE)', 'UP College of Education')",1099.7
"('UP Diliman Institute of Civil Engineering (UP-ICE)', 'Department of Mining, Metallurgical and Materials Engineering (UP DMMME)')",361.5
"('UP Diliman Institute of Civil Engineering (UP-ICE)', 'Industrial Engineering - Mechanical Engineering Building')",1406.9
"('UP Diliman Institute of Civil Engineering (UP-ICE)', 'Institute of Environmental Science and Meteorology')",585.9
"('UP Diliman Institute of Civil Engineering (UP-ICE)', 'UP Child Development Center')",1176.6
"('UP Diliman Institute of Civil Engineering (UP-ICE)', 'Alonso Hall')",1105.4
"('UP Diliman Institute of Civil Engineering (UP-ICE)', 'UP Department of Geodetics Engineering')",1400.9
"('UP Diliman Institute of Civil Engineering (UP-ICE)', 'University of the Philippines Center for International Studies')",978.2
"('UP Diliman Institute of Civil Engineering (UP-ICE)', 'National Institute of Geological Sciences')",509.4
"('UP Diliman Institute of Civil Engineering (UP-ICE)', 'UP College of Home Economics')",1159.6
"('UP Diliman Institute of Civil Engineering (UP-ICE)', 'UP Institute of Islamic Studies')",1277.4
"('UP Diliman Institute of Civil Engineering (UP-ICE)', 'UP College of Law')",1388.0
"('UP Diliman Institute of Civil Engineering (UP-ICE)', 'National Institute of Molecular Biology and Biotechnology')",836.0
"('UP Diliman Institute of Civil Engineering (UP-ICE)', 'UP Department of Mechanical Engineering')",1185.1
"('UP Diliman Institute of Civil Engineering (UP-ICE)', 'UP Marine Science Institute')",529.7
"('UP Diliman Institute of Civil Engineering (UP-ICE)', 'Institute of Mathematics')",768.4
"('UP Diliman Institute of Civil Engineering (UP-ICE)', 'Alfredo V. Lagmay Hall')",1046.6
"('UP Diliman Institute of Civil Engineering (UP-ICE)', 'UP School of Urban and Regional Planning')",1288.8
"('UP Diliman Institute of Civil Engineering (UP-ICE)', 'UP Vanguard Building')",1607.7
"('UP Diliman Institute of Civil Engineering (UP-ICE)', 'University of the Philippines-Diliman Department of Sociology')",889.5
"('UP Diliman Institute of Civil Engineering (UP-ICE)', 'Bulwagang Silangang Palma')",1008.8
"('UP Diliman Institute of Civil Engineering (UP-ICE)', 'UP School of Statistics New Building')",468.8
"('UP Diliman Institute of Civil Engineering (UP-ICE)', 'Technology Management Center - University of the Philippines')",841.9
"('UP Diliman Institute of Civil Engineering (UP-ICE)', 'UP Asian Institute Of Tourism')",1787.8
"('Pavilion 1 - Palma Hall', 'Crafts and Interior Design Laboratory')",450.0
"('Pavilion 1 - Palma Hall', 'UP College of Home Economics Annex Building')",815.6
"('Pavilion 1 - Palma Hall', 'UP Diliman Electrical and Electronics Engineering Institute')",489.6
"('Pavilion 1 - Palma Hall', 'UP National College of Public Administration and Governance')",1381.1
"('Pavilion 1 - Palma Hall', 'UP College of Human Kinetics')",1390.9
"('Pavilion 1 - Palma Hall', 'University of the Philippines Diliman Institute of Chemistry - Teaching Building')",908.6
"('Pavilion 1 - Palma Hall', 'University of the Philippines College of Engineering')",591.5
"('Pavilion 1 - Palma Hall', 'UP College of Music')",929.9
"('Pavilion 1 - Palma Hall', 'UP School of Economics')",831.6
"('Pavilion 1 - Palma Hall', 'UP College of Fine Arts')",1035.3
"('Pavilion 1 - Palma Hall', 'Department of Chemical Engineering, University of the Philippines Diliman')",942.6
"('Pavilion 1 - Palma Hall', 'Computational Science Research Center')",770.9
"('Pavilion 1 - Palma Hall', 'UP College of Education')",482.3
"('Pavilion 1 - Palma Hall', 'Department of Mining, Metallurgical and Materials Engineering (UP DMMME)')",753.6
"('Pavilion 1 - Palma Hall', 'Industrial Engineering - Mechanical Engineering Building')",863.1
"('Pavilion 1 - Palma Hall', 'Institute of Environmental Science and Meteorology')",801.2
"('Pavilion 1 - Palma Hall', 'UP Child Development Center')",801.0
"('Pavilion 1 - Palma Hall', 'Alonso Hall')",729.9
"('Pavilion 1 - Palma Hall', 'UP Department of Geodetics Engineering')",857.1
"('Pavilion 1 - Palma Hall', 'University of the Philippines Center for International Studies')",330.5
"('Pavilion 1 - Palma Hall', 'National Institute of Geological Sciences')",724.7
"('Pavilion 1 - Palma Hall', 'UP College of Home Economics')",784.0
"('Pavilion 1 - Palma Hall', 'UP Institute of Islamic Studies')",1211.9
"('Pavilion 1 - Palma Hall', 'UP College of Law')",844.3
"('Pavilion 1 - Palma Hall', 'National Institute of Molecular Biology and Biotechnology')",744.3
"('Pavilion 1 - Palma Hall', 'UP Department of Mechanical Engineering')",641.3
"('Pavilion 1 - Palma Hall', 'UP Marine Science Institute')",436.1
"('Pavilion 1 - Palma Hall', 'Institute of Mathematics')",983.7
"('Pavilion 1 - Palma Hall', 'Alfredo V. Lagmay Hall')",398.9
"('Pavilion 1 - Palma Hall', 'UP School of Urban and Regional Planning')",1223.2
"('Pavilion 1 - Palma Hall', 'UP Vanguard Building')",1228.9
"('Pavilion 1 - Palma Hall', 'University of the Philippines-Diliman Department of Sociology')",240.0
"('Pavilion 1 - Palma Hall', 'Bulwagang Silangang Palma')",464.4
"('Pavilion 1 - Palma Hall', 'UP School of Statistics New Building')",476.1
"('Pavilion 1 - Palma Hall', 'Technology Management Center - University of the Philippines')",1057.2
"('Pavilion 1 - Palma Hall', 'UP Asian Institute Of Tourism')",1722.2
"('Crafts and Interior Design Laboratory', 'UP College of Home Economics Annex Building')",549.9
"('Crafts and Interior Design Laboratory', 'UP Diliman Electrical and Electronics Engineering Institute')",644.4
"('Crafts and Interior Design Laboratory', 'UP National College of Public Administration and Governance')",1667.9
"('Crafts and Interior Design Laboratory', 'UP College of Human Kinetics')",1700.4
"('Crafts and Interior Design Laboratory', 'University of the Philippines Diliman Institute of Chemistry - Teaching Building')",834.6
"('Crafts and Interior Design Laboratory', 'University of the Philippines College of Engineering')",661.3
"('Crafts and Interior Design Laboratory', 'UP College of Music')",1239.4
"('Crafts and Interior Design Laboratory', 'UP School of Economics')",595.3
"('Crafts and Interior Design Laboratory', 'UP College of Fine Arts')",1190.1
"('Crafts and Interior Design Laboratory', 'Department of Chemical Engineering, University of the Philippines Diliman')",1097.4
"('Crafts and Interior Design Laboratory', 'Computational Science Research Center')",709.0
"('Crafts and Interior Design Laboratory', 'UP College of Education')",216.6
"('Crafts and Interior Design Laboratory', 'Department of Mining, Metallurgical and Materials Engineering (UP DMMME)')",908.3
"('Crafts and Interior Design Laboratory', 'Industrial Engineering - Mechanical Engineering Building')",909.5
"('Crafts and Interior Design Laboratory', 'Institute of Environmental Science and Meteorology')",956.0
"('Crafts and Interior Design Laboratory', 'UP Child Development Center')",535.2
"('Crafts and Interior Design Laboratory', 'Alonso Hall')",464.1
"('Crafts and Interior Design Laboratory', 'UP Department of Geodetics Engineering')",926.9
"('Crafts and Interior Design Laboratory', 'University of the Philippines Center for International Studies')",259.6
"('Crafts and Interior Design Laboratory', 'National Institute of Geological Sciences')",879.5
"('Crafts and Interior Design Laboratory', 'UP College of Home Economics')",518.3
"('Crafts and Interior Design Laboratory', 'UP Institute of Islamic Studies')",1498.7
"('Crafts and Interior Design Laboratory', 'UP College of Law')",631.9
"('Crafts and Interior Design Laboratory', 'National Institute of Molecular Biology and Biotechnology')",682.4
"('Crafts and Interior Design Laboratory', 'UP Department of Mechanical Engineering')",950.8
"('Crafts and Interior Design Laboratory', 'UP Marine Science Institute')",590.9
"('Crafts and Interior Design Laboratory', 'Institute of Mathematics')",964.3
"('Crafts and Interior Design Laboratory', 'Alfredo V. Lagmay Hall')",191.2
"('Crafts and Interior Design Laboratory', 'UP School of Urban and Regional Planning')",1510.0
"('Crafts and Interior Design Laboratory', 'UP Vanguard Building')",1538.5
"('Crafts and Interior Design Laboratory', 'University of the Philippines-Diliman Department of Sociology')",216.6
"('Crafts and Interior Design Laboratory', 'Bulwagang Silangang Palma')",125.6
"('Crafts and Interior Design Laboratory', 'UP School of Statistics New Building')",630.9
"('Crafts and Interior Design Laboratory', 'Technology Management Center - University of the Philippines')",1037.8
"('Crafts and Interior Design Laboratory', 'UP Asian Institute Of Tourism')",2009.1
"('UP College of Home Economics Annex Building', 'UP Diliman Electrical and Electronics Engineering Institute')",541.6
"('UP College of Home Economics Annex Building', 'UP National College of Public Administration and Governance')",1915.0
"('UP College of Home Economics Annex Building', 'UP College of Human Kinetics')",1923.8
"('UP College of Home Economics Annex Building', 'University of the Philippines Diliman Institute of Chemistry - Teaching Building')",306.1
"('UP College of Home Economics Annex Building', 'University of the Philippines College of Engineering')",882.0
"('UP College of Home Economics Annex Building', 'UP College of Music')",1462.8
"('UP College of Home Economics Annex Building', 'UP School of Economics')",586.8
"('UP College of Home Economics Annex Building', 'UP College of Fine Arts')",1515.4
"('UP College of Home Economics Annex Building', 'Department of Chemical Engineering, University of the Philippines Diliman')",964.5
"('UP College of Home Economics Annex Building', 'Computational Science Research Center')",267.2
"('UP College of Home Economics Annex Building', 'UP College of Education')",333.3
"('UP College of Home Economics Annex Building', 'Department of Mining, Metallurgical and Materials Engineering (UP DMMME)')",760.6
"('UP College of Home Economics Annex Building', 'Industrial Engineering - Mechanical Engineering Building')",901.0
"('UP College of Home Economics Annex Building', 'Institute of Environmental Science and Meteorology')",603.3
"('UP College of Home Economics Annex Building', 'UP Child Development Center')",217.9
"('UP College of Home Economics Annex Building', 'Alonso Hall')",146.8
"('UP College of Home Economics Annex Building', 'UP Department of Geodetics Engineering')",982.8
"('UP College of Home Economics Annex Building', 'University of the Philippines Center for International Studies')",485.1
"('UP College of Home Economics Annex Building', 'National Institute of Geological Sciences')",654.2
"('UP College of Home Economics Annex Building', 'UP College of Home Economics')",201.0
"('UP College of Home Economics Annex Building', 'UP Institute of Islamic Studies')",1745.8
"('UP College of Home Economics Annex Building', 'UP College of Law')",623.3
"('UP College of Home Economics Annex Building', 'National Institute of Molecular Biology and Biotechnology')",212.6
"('UP College of Home Economics Annex Building', 'UP Department of Mechanical Engineering')",1125.7
"('UP College of Home Economics Annex Building', 'UP Marine Science Institute')",616.8
"('UP College of Home Economics Annex Building', 'Institute of Mathematics')",605.9
"('UP College of Home Economics Annex Building', 'Alfredo V. Lagmay Hall')",416.8
"('UP College of Home Economics Annex Building', 'UP School of Urban and Regional Planning')",1757.1
"('UP College of Home Economics Annex Building', 'UP Vanguard Building')",1761.8
"('UP College of Home Economics Annex Building', 'University of the Philippines-Diliman Department of Sociology')",576.4
"('UP College of Home Economics Annex Building', 'Bulwagang Silangang Palma')",424.2
"('UP College of Home Economics Annex Building', 'UP School of Statistics New Building')",956.2
"('UP College of Home Economics Annex Building', 'Technology Management Center - University of the Philippines')",679.4
"('UP College of Home Economics Annex Building', 'UP Asian Institute Of Tourism')",2256.2
"('UP Diliman Electrical and Electronics Engineering Institute', 'UP National College of Public Administration and Governance')",1486.6
"('UP Diliman Electrical and Electronics Engineering Institute', 'UP College of Human Kinetics')",1566.9
"('UP Diliman Electrical and Electronics Engineering Institute', 'University of the Philippines Diliman Institute of Chemistry - Teaching Building')",512.0
"('UP Diliman Electrical and Electronics Engineering Institute', 'University of the Philippines College of Engineering')",830.2
"('UP Diliman Electrical and Electronics Engineering Institute', 'UP College of Music')",1168.6
"('UP Diliman Electrical and Electronics Engineering Institute', 'UP School of Economics')",1107.0
"('UP Diliman Electrical and Electronics Engineering Institute', 'UP College of Fine Arts')",1008.8
"('UP Diliman Electrical and Electronics Engineering Institute', 'Department of Chemical Engineering, University of the Philippines Diliman')",467.9
"('UP Diliman Electrical and Electronics Engineering Institute', 'Computational Science Research Center')",384.2
"('UP Diliman Electrical and Electronics Engineering Institute', 'UP College of Education')",794.6
"('UP Diliman Electrical and Electronics Engineering Institute', 'Department of Mining, Metallurgical and Materials Engineering (UP DMMME)')",264.0
"('UP Diliman Electrical and Electronics Engineering Institute', 'Industrial Engineering - Mechanical Engineering Building')",1101.8
"('UP Diliman Electrical and Electronics Engineering Institute', 'Institute of Environmental Science and Meteorology')",311.6
"('UP Diliman Electrical and Electronics Engineering Institute', 'UP Child Development Center')",738.1
"('UP Diliman Electrical and Electronics Engineering Institute', 'Alonso Hall')",667.0
"('UP Diliman Electrical and Electronics Engineering Institute', 'UP Department of Geodetics Engineering')",1095.8
"('UP Diliman Electrical and Electronics Engineering Institute', 'University of the Philippines Center for International Studies')",673.1
"('UP Diliman Electrical and Electronics Engineering Institute', 'National Institute of Geological Sciences')",235.1
"('UP Diliman Electrical and Electronics Engineering Institute', 'UP College of Home Economics')",721.2
"('UP Diliman Electrical and Electronics Engineering Institute', 'UP Institute of Islamic Studies')",1317.4
"('UP Diliman Electrical and Electronics Engineering Institute', 'UP College of Law')",1083.0
"('UP Diliman Electrical and Electronics Engineering Institute', 'National Institute of Molecular Biology and Biotechnology')",397.6
"('UP Diliman Electrical and Electronics Engineering Institute', 'UP Department of Mechanical Engineering')",880.0
"('UP Diliman Electrical and Electronics Engineering Institute', 'UP Marine Science Institute')",150.2
"('UP Diliman Electrical and Electronics Engineering Institute', 'Institute of Mathematics')",494.2
"('UP Diliman Electrical and Electronics Engineering Institute', 'Alfredo V. Lagmay Hall')",741.5
"('UP Diliman Electrical and Electronics Engineering Institute', 'UP School of Urban and Regional Planning')",1328.8
"('UP Diliman Electrical and Electronics Engineering Institute', 'UP Vanguard Building')",1467.6
"('UP Diliman Electrical and Electronics Engineering Institute', 'University of the Philippines-Diliman Department of Sociology')",584.4
"('UP Diliman Electrical and Electronics Engineering Institute', 'Bulwagang Silangang Palma')",703.7
"('UP Diliman Electrical and Electronics Engineering Institute', 'UP School of Statistics New Building')",475.6
"('UP Diliman Electrical and Electronics Engineering Institute', 'Technology Management Center - University of the Philippines')",567.6
"('UP Diliman Electrical and Electronics Engineering Institute', 'UP Asian Institute Of Tourism')",1827.8
"('UP National College of Public Administration and Governance', 'UP College of Human Kinetics')",480.0
"('UP National College of Public Administration and Governance', 'University of the Philippines Diliman Institute of Chemistry - Teaching Building')",1998.6
"('UP National College of Public Administration and Governance', 'University of the Philippines College of Engineering')",1251.1
"('UP National College of Public Administration and Governance', 'UP College of Music')",722.3
"('UP National College of Public Administration and Governance', 'UP School of Economics')",1623.4
"('UP National College of Public Administration and Governance', 'UP College of Fine Arts')",727.9
"('UP National College of Public Administration and Governance', 'Department of Chemical Engineering, University of the Philippines Diliman')",1594.6
"('UP National College of Public Administration and Governance', 'Computational Science Research Center')",1870.8
"('UP National College of Public Administration and Governance', 'UP College of Education')",1587.1
"('UP National College of Public Administration and Governance', 'Department of Mining, Metallurgical and Materials Engineering (UP DMMME)')",1696.0
"('UP National College of Public Administration and Governance', 'Industrial Engineering - Mechanical Engineering Building')",1218.7
"('UP National College of Public Administration and Governance', 'Institute of Environmental Science and Meteorology')",1798.2
"('UP National College of Public Administration and Governance', 'UP Child Development Center')",1900.3
"('UP National College of Public Administration and Governance', 'Alonso Hall')",1829.2
"('UP National College of Public Administration and Governance', 'UP Department of Geodetics Engineering')",1212.7
"('UP National College of Public Administration and Governance', 'University of the Philippines Center for International Studies')",1435.3
"('UP National College of Public Administration and Governance', 'National Institute of Geological Sciences')",1721.7
"('UP National College of Public Administration and Governance', 'UP College of Home Economics')",1883.4
"('UP National College of Public Administration and Governance', 'UP Institute of Islamic Studies')",169.2
"('UP National College of Public Administration and Governance', 'UP College of Law')",1504.8
"('UP National College of Public Administration and Governance', 'National Institute of Molecular Biology and Biotechnology')",1849.3
"('UP National College of Public Administration and Governance', 'UP Department of Mechanical Engineering')",986.4
"('UP National College of Public Administration and Governance', 'UP Marine Science Institute')",1527.0
