course_code,course_title,offering_unit,units,timeslot,venue,instructor
Geog 119,Geography of Movement,DGeog,3.0,WF 1-2:30PM,PH 410,"GARCIA, EMMANUEL"
Geog 121,Landform Analysis,DGeog,4.0,M 8-11AM,PAV2 2130; M 12-3PM lab PAV2 2130,"LACSON-DY, MA. IONA KATRINA"
Geog 124,Geographic Information Systems for Human Geographic Research,DGeog,3.0,WF 8:30-11AM,PAV2 2130,"MARTINEZ, MA. SIMEONA"
Geog 135,Rural and Urban Geography,DGeog,3.0,WF 4-5:30PM,PAV2 2248,"CADAG, JAKE ROM"
Geog 143,Geography of Asia,DGeog,3.0,WF 2:30-4PM,PAV2 2248,"GUTIERREZ, DARLENE"
Geog 151,Geography of Europe,DGeog,3.0,WF 8:30-10AM,PAV2 2248,"ANACTA, VANESSA JOY"
Geog 161,Concepts and Principles of Land Use,DGeog,3.0,WF 10-11:30AM,PH 410,"GARCIA, EMMANUEL"
Geog 171,Political Geography,DGeog,3.0,TTh 11:30AM-1PM,PH 204,"QUIRAY, ANDRE"
Geog 173,Cultural Geography,DGeog,3.0,WF 11:30AM-1PM,PAV2 2244,"OCAMPO, LOU ANGELI"
Geog 183,Transport Geography ,DGeog,3.0,WF 2:30-4PM,PH 104,"GARCIA, EMMANUEL"
Geog 190,"Map, Aerial Photo, and Satellite Image Interpretation",DGeog,3.0,WF 2:30-5PM,PAV2 2130,"MARTINEZ, MA. SIMEONA"
Geog 197,Digital Cartography,DGeog,5.0,S 7AM-6PM,PAV2 2130,"ILUSTRE, KATHY ANGELA"
Geog 198,Special Topics in Geography,DGeog,3.0,TTh 10-11:30AM,PAV2 2248,"AMORSOLO, DOMINIQUE SASHA"
Geog 199,Seminar,DGeog,3.0,TTh 2:30-4PM,PAV2 2248,"ANACTA, VANESSA JOY"
Geog 211,Seminar in Geography,DGeog,3.0,Th 5-8PM,PH 104,"ISORENA, TRINA"
Geog 212,Applied Climatology,DGeog,3.0,T 5:30-8:30PM,PAV2 2248,"GUTIERREZ, DARLENE"
Geog 243,Geographic Information Systems Applications in the Social Sciences,DGeog,3.0,TTh 5:30-8PM,PAV2 2130,"ANACTA, VANESSA JOY"
Geog 255,Geography of Disasters and Disaster Risk Reduction and Management,DGeog,3.0,F 6-9PM,PAV2 2248,"CADAG, JAKE ROM"
Geog 299,Research Design in Geography,DGeog,3.0,Th 5:30-8:30PM,PAV2 2248,"LOPEZ, YANY"
Geog 300,Master's Thesis,DGeog,6.0,TBA,,TBA
Geol 1,Our Dynamic Earth,NIGS,3.0,TTh 11:30AM-1PM,NIGS 125,"DE SILVA, LEOPOLDO"
Geol 11,Principles of Geology,NIGS,3.0,TTh 8:30-10AM,NIGS 128,"ABUDA, JAMILA; MONDALA, JOHN PAUL"
Geol 11.1,Laboratory in Principles of Geology,NIGS,1.0,Th 11:30AM-2:30PM,NIGS 212,"TRINIDAD, JOSE RAINIER"
Geol 12,Technical Drawing and Field Methods in Geology,NIGS,2.0,WF 11:30AM-2:30PM,NIGS 211,"RAMOS, KIRK JUSTIN"
Geol 51,Petrology and Petrography,NIGS,5.0,TTh 4-5:30PM,NIGS 015,"FERNANDO, ALLAN GIL; PAYOT, BETCHAIDA; VALERA, GABRIEL THEOPHILUS"
Geol 105,Geochemistry,NIGS,3.0,WF 10-11:30AM,NIGS 015,"PAYOT, BETCHAIDA; DI FILIPPO, ROBERT MICHAEL"
Geol 116,Introduction to Engineering Geology,NIGS,3.0,TTh 1-2PM,NIGS 211,"CATANE, SANDRA"
Geol 118,Geological and Hydrometeorological Hazards,NIGS,3.0,TTh 8:30-10AM,NIGS 230,"AURELIO, MARIO; CATANE, SANDRA; LAGMAY, ALFREDO MAHAR FRANCISCO; YBAÑEZ, RICHARD; DIANALA, JOHN DALE; RAMOS, NOELYNNA"
Geol 122,Geomorphology,NIGS,3.0,W 3-5PM,NIGS 015,"RAMOS, NOELYNNA"
Geol 131,Micropaleontology,NIGS,4.0,M 8:30-11:30AM,NIGS 125,"DE SILVA, LEOPOLDO; FERNANDO, ALLAN GIL"
Geol 133,Marine Geology,NIGS,3.0,WF 8:30-10AM,NIGS 125,"AURELIO, MARIO; PELEO-ALAMPAY, ALYSSA; CATANE, SANDRA; DE SILVA, LEOPOLDO; FERNANDO, ALLAN GIL; RAMOS, NOELYNNA; ARMADA, LEO"
Geol 135,Earth History,NIGS,4.0,TTh 10-11:30AM,NIGS 230,"PELEO-ALAMPAY, ALYSSA"
Geol 141,Earth Materials Science,NIGS,3.0,WF 4-5:30PM,NIGS 127,"PASCUA, CHELO"
Geol 154,Volcanology,NIGS,3.0,W 4-7PM,NIGS 125,"CATANE, SANDRA"
Geol 170,Field Geology,NIGS,3.0,M 11:30AM-8:30PM,TBA,"FERNANDO, ALLAN GIL; LAGMAY, ALFREDO MAHAR FRANCISCO; RAMOS, NOELYNNA; PAYOT, BETCHAIDA; ARMADA, LEO"
Geol 170,Field Geology,NIGS,3.0,M 11:30AM-8:30PM,TBA,"FERNANDO, ALLAN GIL; LAGMAY, ALFREDO MAHAR FRANCISCO; RAMOS, NOELYNNA; PAYOT, BETCHAIDA; ARMADA, LEO"
Geol 175,Computer Applications in Geology,NIGS,3.0,M 10AM-12PM,NIGS 121,"DIANALA, JOHN DALE"
Geol 181,Geophysics,NIGS,4.0,TTh 8:30-10AM,NIGS 015,"ARMADA, LEO"
Geol 190,Petroleum Geology,NIGS,3.0,S 9AM-12PM,NIGS 211,"BASTERO, CIELO; ILAO, KIMBERLY"
Geol 196,Undergraduate Seminar,NIGS,2.0,Th 1-3PM,NIGS 125,"PAYOT, BETCHAIDA"
Geol 197,Special Topics in Geology,NIGS,3.0,S 1-4PM,NIGS 121,"YBAÑEZ, RICHARD; DIANALA, JOHN DALE"
Geol 198,Laws and Policies in Geology,NIGS,3.0,TTh 10-11:30AM,NIGS 015,"AURELIO, MARIO; ARCILLA, CARLO; BATONGBACAL, JAY; ANGELES, CICERON; FAUSTINO-ESLAVA, DECIBEL; CUI, LOUCEL"
Geol 200,Undergraduate Thesis,NIGS,3.0,TBA,,"FERNANDO, ALLAN GIL"
Geol 213,Photogeology and Remote Sensing,NIGS,2.0,S 11:30AM-12:30PM,NIGS 127,"AURELIO, MARIO; PASCUA, CHELO"
Geol 217,Hydrogeology,NIGS,3.0,W 5:30-7:30PM,NIGS 127,"DI FILIPPO, ROBERT MICHAEL"
Geol 241,X-Ray Crystallography and Spectrography,NIGS,4.0,TTh 5:30-7PM,NIGS 215,"PASCUA, CHELO"
Geol 250,Igneous Petrology,NIGS,4.0,Th 5:30-7:30PM,NIGS 125,"PAYOT, BETCHAIDA"
Geol 271,Mining Geology,NIGS,3.0,S 9AM-12PM,NIGS 128; W 5:30-7:30PM lec NIGS 128,"CLAVERIA, RENE JUNA"
Geol 290,Fundamental Problems in Geology,NIGS,3.0,F 5:30-8:30PM,NIGS 125,"FERNANDO, ALLAN GIL"
Geol 296,Seminar,NIGS,2.0,W 8:30-10:30AM,NIGS 128,"LAGMAY, ALFREDO MAHAR FRANCISCO"
Geol 300,Master's Thesis,NIGS,6.0,TBA,,"FERNANDO, ALLAN GIL"
Geol 399,Research,NIGS,3.0,Th 8:30-11:30AM,TBA,"VALERA, GABRIEL THEOPHILUS"
Geology 297,Special Topics in Geology,NIGS,3.0,W 5:30-8:30PM,NIGS 215,"PELEO-ALAMPAY, ALYSSA; FERNANDO, ALLAN GIL"
German 10,Elementary Course,DEL,3.0,TTh 1-2:30PM,TBA,CONCEALED
German 11,Elementary Course,DEL,3.0,TTh 8:30-10AM,TBA,CONCEALED
German 12,Intermediate Course,DEL,3.0,TWThF 11:30AM-1PM,TBA,CONCEALED
German 13,Intermediate Course,DEL,3.0,TWThF 11:30AM-1PM,TBA,CONCEALED
German 16,Advanced Language Course III in German,DEL,6.0,TWThF 4-5:30PM,TBA,"CACULITAN, MIGUEL"
German 30,Advanced Spoken German I,DEL,3.0,TTh 2:30-4PM,TBA,CONCEALED
German 51,Text Engagement in German,DEL,3.0,WF 1-2:30PM,TBA,"WIGAND, KIM"
German 61,Academic Writing in German,DEL,3.0,WF 7-8:30AM,TBA,"AGCAOILI, NINA RACHEL"
German 101,Contemporary German Culture and Civilization,DEL,3.0,WF 10-11:30AM,TBA,"FROHLICH, MONICA"
German 130,German Linguistics I,DEL,3.0,TTh 7-8:30AM,TBA,"AGCAOILI, NINA RACHEL"
German 140,Technical German,"DEL, DEL",3.0,WF 2:30-4PM,TBA,"MANARPAAC, DANILO VICTORINO"
German 150,Masterpieces of German Literature,DEL,3.0,WF 8:30-10AM,TBA,"FROHLICH, MONICA"
GmE 202,Principles of Remote Sensing,DGE,3.0,T 6-8PM,MH 210; Th 6-9PM lab MH 210,"TUPAS, MARK EDWIN; TAMONDONG, AYIN"
GmE 203,Principles of Geographic Information Systems,DGE,3.0,W 6-8PM,MH 210; F 6-9PM lab MH 210,"CLARIDADES, ALEXIS RICHARD"
GmE 205,Object-Oriented Programming for Geomatic Applications,DGE,3.0,S 1-3PM,MH 210; S 3-6PM lab MH 210,"TUPAS, MARK EDWIN"
GmE 211,Satellite Geodesy,DGE,3.0,T 6-8PM,MH 214; Th 6-9PM lab MH 214,"REYES, ROSALIE"
GmE 216,Field Techniques in Applied Geodesy and Remote Sensing,DGE,3.0,S 7-8AM,MH 214; S 8AM-2PM lab MH 214,"SARMIENTO, CZAR JAKIRI"
GmE 217,Cadastral Data Management,DGE,3.0,S 1-3PM,MH 214; S 3-6PM lab MH 214,"MACAPINLAC, OLIVER"
GmE 221,Spatial Analysis,DGE,3.0,W 6-8PM,MH 214; F 6-9PM lab MH 214,"MACAPINLAC, OLIVER"
GmE 231,Lidar Remote Sensing,DGE,3.0,W 6-8PM,MH 318-320; F 6-9PM lab MH 318-320,"TUPAS, MARK EDWIN; TAMONDONG, AYIN"
GmE 241,Mathematical Geodesy and Adjustments of Geodetic Observations,DGE,3.0,S 7-9AM,MH 214; S 9AM-12PM lab MH 214,"SARMIENTO, CZAR JAKIRI"
GmE 242,"Satellite Positioning, Signal Processing and Numerical Methods",DGE,3.0,T 6-8PM,MH 310; Th 6-9PM lab MH 310,"SARMIENTO, CZAR JAKIRI"
HE 100,Family Life and Societal Development,OCS,3.0,TTh 10-11:30AM,CDC Room 305,"METRIO, ALEXA KARMEL"
HE 101,Ethics and Values in Family and Society,OCS,3.0,S 9AM-12PM,CHE MB 203,"YATCO, KATTLEYA MARIE REINE"
HE 102,Introduction to Management of Family Resources,OCS,2.0,M 10AM-12PM,CDC Room 307,"UGADDAN, MIRIAM"
HE 290,Graduate Seminar,OCS,1.0,W 5:30-6:30PM,ALON 202,"GUEVARRA, SHIRLEY"
HE 390,Graduate Seminar,OCS,1.0,M 5:30-6:30PM,ALON 202,"GUEVARRA, SHIRLEY"
HEEd 122,Special Topics in Teaching Technology and Livelihood Education (TLE) in the K to 12 Program,HEED,3.0,S 9AM-12PM,CHE MB 105,"TAMORO, JEANELLE REINA"
HEEd 131,Consumer Education,HEED,3.0,TTh 2:30-4PM,CHE MB 105,"BANTANG, JOANNE"
HEEd 133,Entrepreneurship and Livelihood Education,HEED,3.0,S 1-4PM,IDS 118,"CATAPAT, KRISTINE ALAINE"
HEEd 134,Practicum I Entrepreneurship Education,HEED,3.0,TTh 8:30AM-1:30PM,IDS 120,"CHUA, CONSUELO"
HEEd 137,Evaluation in Home Economics Education,HEED,3.0,WF 2:30-4PM,CHE MB 105,"BANTANG, JOANNE"
HEEd 138,Information and Communications Technology in Home Economics,HEED,3.0,M 8-9AM,ALON 202; M 9AM-3PM lab ALON 202,"BARTOLOME, JOSE MARTI"
HEEd 139,Curriculum Planning in Home Economics Education,HEED,3.0,TTh 2:30-4PM,CDC Room 305,"LLIGE, AURORA"
HEEd 148,Adult and Out-of-School Youth Programs in Home Economics,HEED,3.0,S 10AM-5PM,IDS 120,"TRINIDAD, MARY JUSTINE CLARISE"
HEEd 149,Practicum III Management of School Food Service Centers,HEED,3.0,WF 8AM-1PM,IDS 120,"TRINIDAD, MARY JUSTINE CLARISE"
HEEd 197,Special Problems in Home Economics,HEED,3.0,S 9AM-12PM,IDS 118,"CATAPAT, KRISTINE ALAINE"
HEEd 200,Undergraduate Thesis,HEED,3.0,TBA,,"CHUA, CONSUELO"
HEEd 220,Resource Management in Households,HEED,3.0,Th 4:30-7:30PM,ALON 202,"CHUA, CONSUELO"
HEEd 231,Consumer Studies in the Family Environment,HEED,3.0,W 5-8PM,ALON 101-B(SRO),"BANTANG, JOANNE"
HEEd 301,Paradigms and Perspectives in Home Economics,HEED,3.0,F 5-8PM,CHE MB 105,"FLORENDO, RAQUEL; AQUINO, MARIA FEMA"
HEEd 341,Management of Home Economics Programs,HEED,3.0,S 9AM-12PM,TBA,"CORPUZ, JENILYN ROSE"
HEEd 397,Special Topics in Home Economics,HEED,3.0,W 5-8PM,TBA,"LLIGE, AURORA"
HEEd 400,Dissertation,HEED,12.0,TBA,,"CHUA, CONSUELO"
HMS 201,Philosophy of Human Movement Science,CHK-GSP,3.0,T 5:30-8:30PM,TBA,"GUINTO, MARIA LUISA"
HMS 206,Measurement and Evaluation in Human Movement Science,CHK-GSP,3.0,Th 5:30-8:30PM,TBA,"VALLESER, CHRISTIAN WISDOM"
HMS 215,Motor Control,CHK-GSP,3.0,M 5:30-8:30PM,TBA,TBA
HMS 216,Analysis of Human Movement,CHK-GSP,3.0,S 2-5PM,TBA,"CARON, MARK CHRISTOPHER"
HMS 217,Applied Exercise Physiology,CHK-GSP,3.0,T 5:30-8:30PM,TBA,"CALLANTA, HERCULES"
HMS 232,Management of Leisure,CHK-GSP,3.0,Th 5:30-8:30PM,TBA,"UY, GILDA"
HMS 234,Leisure for Special Groups,CHK-GSP,3.0,F 5:30-8:30PM,TBA,"DIMARUCUT, ALBERTO"
HMS 241,Advanced Administration of Physical Education,CHK-GSP,3.0,Th 5:30-8:30PM,TBA,"GONZALO, LEILANI"
HMS 242,Current Trends in Physical Education,CHK-GSP,3.0,M 5:30-8:30PM,TBA,"GONZALO, LEILANI"
HMS 243,Psycho-social Issues in Physical Education,CHK-GSP,3.0,T 5:30-8:30PM,TBA,"MOTI, LISSA AIREEN"
HMS 298,Seminar in Human Movement Science,CHK-GSP,3.0,F 5:30-8:30PM,TBA,"UY, GILDA"
HMS 299,Research in Human Movement Science,CHK-GSP,3.0,W 5:30-8:30PM,TBA,"DIMARUCUT, ALBERTO"
HMS 300,Thesis,CHK-GSP,6.0,TBA,,TBA
HRIM 104,Food and Beverage Management I,HRIM,5.0,F 7-10AM,Tearoom,"RANADA, GOLDA MAY"
HRIM 105,Beverage Management I,HRIM,3.0,Th 10AM-12PM,CHE MB 105,"TUMANAN-RAMOS, MARY ANNE"
HRIM 107,"Management Information Systems for Hotels, Restaurants and Related Institutions",HRIM,3.0,T 10AM-12PM,ALON 202,"MARQUEZ, MARNELLI KENNETH"
HRIM 109,Purchasing Management,HRIM,3.0,F 10AM-12PM,CIDL 131,"GUERRERO, RAYMUND GERARD; MIRALLES-HIJE, MARIA ASUNCION"
HRIM 111,Food and Beverage Management II,HRIM,5.0,W 8:30-10:30AM,CHE MB 202,"ELEAZAR, ROSANNE NICOLLETTE"
HRIM 112,"Business Management in Hotels, Restaurants and Related Institutions",HRIM,3.0,TTh 8:30-10AM,CDC Room 305,"MANUEL-MILLAREZ, RUBY LAUREN"
HRIM 115,"Management Accounting in Hotels, Restaurants and Related Institutions",HRIM,3.0,S 1-4PM,ALON 202,"AGUILA, JAMES ROBERT"
HRIM 127,Human Resource Management I,HRIM,3.0,T 1-4PM,CIDL Basement,"BAYLOSIS, LILIBETH"
HRIM 130,Cost Control and Analysis,HRIM,3.0,T 8:30-11:30AM,CIDL Basement,"LUCAS, DANIEL KARLO"
HRIM 131,"Operations Management in Hotels, Restaurants and Related Institutions",HRIM,3.0,Th 1-4PM,CHE MB 202,"BAYLOSIS, LILIBETH; LUCAS, DANIEL KARLO"
HRIM 141,"Financial Management in Hotels, Restaurants and Related Institutions",HRIM,3.0,F 1-4PM,CDC Room 305,"TOMACRUZ, MARY DELIA"
HRIM 150,Culinary Management,HRIM,5.0,M 8-11AM,FNL NIML,"MARIANO, ANNALISA MARGARITA"
HRIM 151,Beverage Management I,HRIM,3.0,T 10AM-12PM,CHE MB 105,"TUMANAN-RAMOS, MARY ANNE"
HRIM 153,"Managerial Control in Hotels, Restaurants and Related Institutions",HRIM,3.0,Th 8:30-11:30AM,CIDL Basement,"BAYLOSIS, LILIBETH; LUCAS, DANIEL KARLO"
HRIM 154,"Management Information Systems in Hotels, Restaurants and Related Institutions",HRIM,3.0,T 8-10AM,ALON 202,CONCEALED
HRIM 155,"Human Resource Management in Hotels, Restaurants and Related Institutions I",HRIM,3.0,F 8:30-11:30AM,CDC Room 305,"BAYLOSIS, LILIBETH; MANUEL-MILLAREZ, RUBY LAUREN"
HRIM 156,"Marketing Management in Hotels, Restaurants and Related Institutions I",HRIM,3.0,F 1-4PM,CDC Room 308,"LOVERIO, JENNIFER"
HRIM 160,"Law and the Management of Hotels, Restaurants and Related Institutions",HRIM,3.0,S 8:30-11:30AM,ALON 202,"CORTEZ, PERCIVAL"
HRIM 161,"Catering Management in Hotels, Restaurants and Related Institutions",HRIM,5.0,T 8:30-10:30AM,Tearoom,"ELEAZAR, ROSANNE NICOLLETTE"
HRIM 162,"Financial Management in Hotels, Restaurants and Related Institutions",HRIM,3.0,F 8:30-11:30AM,ALON 202,"TOMACRUZ, MARY DELIA"
HRIM 163,"Events Management in Hotels, Restaurants and Related Institutions",HRIM,3.0,W 10AM-12PM,Tearoom,"GUERRERO, RAYMUND GERARD; MIRALLES-HIJE, MARIA ASUNCION"
HRIM 170,"Marketing Management in Hotels, Restaurants and Related Institutions I",HRIM,3.0,F 8:30-11:30AM,IDS 122B,"LOVERIO, JENNIFER"
HRIM 186,"Practicum in Hotels, Restaurants and Related Institutions",HRIM,10.0,M 7AM-5PM,TBA,"BAYLOSIS, LILIBETH; FLORES, JAN GERARDO; LOVERIO, JENNIFER"
HRIM 233,"Operations Management in Hotels, Restaurants, and Related Institutions",HRIM,2.0,S 8-10AM,CIDL 131,"BAYLOSIS, LILIBETH; LOVERIO, JENNIFER"
HRIM 270,"Marketing Management in Hotels, Restaurants and Related Institutions",HRIM,2.0,S 10:30AM-12:30PM,CIDL 132,"TOMACRUZ, MARY DELIA; LOVERIO, JENNIFER"
HRIM 280,"Strategic Management in Hotels, Restaurants and Related Institutions",HRIM,2.0,S 8-10AM,CIDL 132,"TOMACRUZ, MARY DELIA"
HRIM 297,Special Topics,HRIM,2.0,S 10AM-12PM,ALON 101-A(Conf. Rm),"TUMANAN-RAMOS, MARY ANNE"
HRIM 299,"Research Methods in Hotels, Restaurants and Related Institutions",HRIM,3.0,S 1-4PM,ALON 101-A(Conf. Rm),"TUMANAN-RAMOS, MARY ANNE"
HRIM 300,Master's Thesis,HRIM,6.0,TBA,,"TUMANAN-RAMOS, MARY ANNE"
Hapon 10,Elementaring Hapon I (Elementary Japanese I),Lingg,3.0,TTh 7-10AM,PH 108-110,"ESPIRITU, JUNILO"
Hapon 11,Elementaring Hapon II (Elementary Japanese II),Lingg,3.0,TTh 7-10AM,PH 108-110,"ESPIRITU, JUNILO"
Hapon 12,Intermidyet na Hapon I (Intermediate Japanese I),Lingg,3.0,TWThF 10-11:30AM,PH 1321-1323,"RAFAEL, RIA"
Hapon 13,Intermidyet na Hapon II (Intermediate Japanese II),Lingg,3.0,TWThF 10-11:30AM,PH 1321-1323,"RAFAEL, RIA"
Hapon 110,Mga Babasahin sa Hapon (Readings in Japanese),Lingg,3.0,WF 1-2:30PM,PH 428,"DOFITAS, CRISTOPHER VINCENT"
Hapon 120,Pagbasa sa Hapon (Reading in Japanese) ,Lingg,3.0,WF 7-8:30AM,PH 1315,"ALVAREZ, ROELIA"
Hapon 121,Pagbasa ng Dyaryong Hapon (Reading Japanese Newspaper),Lingg,3.0,TTh 2:30-4PM,PH 1321-1323,"CABAZOR, ATHENA"
Hapon 122,Advans na Pagbasa I (Advanced Reading I),Lingg,3.0,WF 10-11:30AM,PH 1315,"SUNGA, LEAN AKIKO"
IA 202,Foreign Policy Analysis,PolSci,3.0,M 5:30-8:30PM,AVR,"KRAFT, HERMAN JOSEPH"
IA 205,Evolution of the International System,PolSci,3.0,Th 5:30-8:30PM,TBA,"PELEO, AMADOR"
IA 264,Peace Studies and Conflict Resolution,PolSci,3.0,M 5:30-8:30PM,Conference Room,"PACULBA, XYLEE"
IA 267,Special Topics in International Affairs,PolSci,3.0,W 5:30-8:30PM,Conference Room,"LENTZ, MISHCA"
IA 290,Theories of International Relations,PolSci,3.0,M 5:30-8:30PM,Seminar Room,"DOMINGO, FRANCIS RICO"
IA 299,Research Methods,PolSci,3.0,S 9AM-12PM,AVR,"ROBLES, MA THERESA ANNA"
ID 20,Theories in Interior Design,CTID,3.0,TTh 8:30-10AM,CHE MB 102,"MAYO, ADELAIDA"
ID 21,Interior Design Drafting and Perspective Drawing,CTID,3.0,WF 1-1:30PM,CIDL 133,"JUAREZ, LIZZA MAGDALENA"
ID 24,Philippine and Asian Historical Styles ,CTID,3.0,WF 10:30AM-12PM,CHE MB 202,"DE LEON, LUNA LIEZL"
ID 34,Historical Styles II,CTID,3.0,TTh 10:30AM-12PM,CHE MB 202,"SAYSON, GABRIELLE GAY"
ID 107,Professional Practice I,CTID,2.0,WF 8-9AM,CHE MB 102,"TALUBAN, JOSEPH"
ID 116,Furniture Design and Construction,CTID,3.0,WF 1-1:30PM,IDS 122B; WF 1:30-4:30PM studio IDS 122B,"QUEVEDO, MA.TERESA"
ID 117,Professional Practice II,CTID,2.0,F 10AM-12PM,CHE MB 102,"TALUBAN, JOSEPH"
ID 121,Interior Design I,CTID,3.0,TTh 1-1:30PM,CIDL 133; TTh 1:30-4:30PM studio CIDL 133,"BUYAWE, DIVINE"
ID 141,Interior Design III,CTID,3.0,TTh 1-1:30PM,IDS 122A; TTh 1:30-4:30PM studio IDS 122A,"DE LEON, LUNA LIEZL"
ID 153,Interior Construction II,"CTID, CTID",3.0,TTh 9-10AM,IDS 122A; TTh 10-11:30AM studio IDS 122A,"TALUBAN, JOSEPH"
ID 161,Interior Design V,CTID,3.0,TTh 8:30-9AM,CIDL 133,"MEDINA, RACHELLE"
ID 199,Research Methods in Interior Design,CTID,3.0,W 9AM-12PM,CHE MB 102,"MAYO, ADELAIDA"
ID 200,Undergraduate Thesis,CTID,3.0,TBA,,"MAYO, ADELAIDA"
ID 216,Interior Design Education,CTID,3.0,T 4:30-7:30PM,CHE MB 105,"MAYO, ADELAIDA"
ID 231,Interior Design Technology,CTID,3.0,Th 4:30-7:30PM,CHE MB 105,"JUAREZ, LIZZA MAGDALENA"
ID 299,Research Methods in Interior Design,CTID,3.0,Th 4-7PM,CHE MB 202,"QUEVEDO, MA.TERESA"
ID 300,Thesis,CTID,6.0,TBA,,"TALUBAN, JOSEPH"
IE 3,Introduction to Industrial Engineering,DIE/OR,3.0,S 2-5PM,TBA,CONCEALED
IE 28,Statistical Analysis for Industrial Engineering,DIE/OR,3.0,TTh 8:30-10AM,IE-ME KIM,CONCEALED
IE 31,Industrial Organization and Management,DIE/OR,3.0,S 9AM-12PM,MH 413,CONCEALED
IE 32,Work Study and Measurement,DIE/OR,3.0,M 12-2PM,MH ERGO; M 2-5PM lab MH ERGO,CONCEALED
IE 33,Systems and Procedures,"DIE/OR, DIE/OR",2.0,F 3-5PM,IE-ME 113,CONCEALED
IE 41,Operations Research I,DIE/OR,3.0,TTh 10-11:30AM,TBA,CONCEALED
IE 50,Engineering Economics for Industrial Engineering,DIE/OR,3.0,TTh 1-2:30PM,IE-ME 111,CONCEALED
IE 144,Systems Simulation,DIE/OR,3.0,M 1-3PM,IE-ME KIM; F 1-4PM lab IE-ME KIM,CONCEALED
IE 151,Production and Service Systems,DIE/OR,3.0,TTh 1-2PM,IE-ME SCAL; TTh 2-3:30PM lab IE-ME SCAL,CONCEALED
IE 163,Ergonomics II,DIE/OR,2.0,M 8-9AM,TBA; T 8:30-11:30AM lab TBA,CONCEALED
IE 171,Information Systems I,DIE/OR,3.0,TTh 10-11:30AM,IE Comp Lab,CONCEALED
IE 195,Industrial Engineering Capstone Project II,DIE/OR,3.0,M 11AM-12PM,TBA; S 11AM-5PM lab TBA,"CUSTODIO, BENETTE"
IE 197,Special Topics,DIE/OR,3.0,S 9AM-12PM,IE-ME 113,CONCEALED
IE 198,Special Problems,DIE/OR,3.0,TTh 11:30AM-1PM,IE-ME IPDD,CONCEALED
IE 211,Quantitative Methods in Industrial Engineering,DIE/OR,3.0,W 6-9PM,IE-ME 113,CONCEALED
IE 214,Introductory Operations Research,DIE/OR,3.0,S 8-11AM,IE-ME 111,CONCEALED
IE 230,Statistical Design and Analysis for Engineers,DIE/OR,3.0,W 6-9PM,IE-ME KIM,CONCEALED
IE 241,Operations Research I,DIE/OR,3.0,M 6-9PM,IE-ME 111,CONCEALED
IE 242,Operations Research II,DIE/OR,3.0,W 6-9PM,IE-ME 109,CONCEALED
IE 243,Advanced Methods and Standards,DIE/OR,3.0,F 6-9PM,MH ERGO,CONCEALED
IE 245,Advances in Production Systems,DIE/OR,3.0,W 6-9PM,IE-ME SCAL,CONCEALED
IE 271,Information Systems Engineering,DIE/OR,3.0,M 6:30-9:30PM,IE-ME KIM,CONCEALED
IE 273,Design of Analytics Systems,DIE/OR,3.0,S 2-5PM,IE-ME SCAL,CONCEALED
IE 281,Systems Simulation,DIE/OR,3.0,M 6-9PM,IE Comp Lab,CONCEALED
IE 296,Seminar,DIE/OR,1.0,S 5-6PM,MH ERGO,CONCEALED
IE 298,Special Problems,DIE/OR,3.0,Th 6-9PM,IE-ME 109,CONCEALED
IE 299,Special Project,DIE/OR,3.0,M 8-9AM,TBA,"SONDAY, CARLO ANGELO"
IE 300,Thesis,"DIE/OR, DIE/OR",3.0,TBA,,"CUSTODIO, BENETTE"
IE 371,Computational Methods for Industrial Engineering,DIE/OR,3.0,W 6-9PM,IE-ME 111,CONCEALED
IR 201,Introduction to Industrial Relations,SOLAIR,3.0,S 9AM-12PM,TBA,"OFRENEO, RENE"
IR 202,Organization and Work,SOLAIR,3.0,S 9AM-12PM,TBA,"TOLENTINO, MA CATALINA"
IR 204,Labor and the Economy,SOLAIR,3.0,S 1-4PM,TBA,"GADDI, REBECCA"
IR 205,Wages and the Labor Market,SOLAIR,3.0,S 9AM-12PM,TBA,"GALUNAN, CHRISTINE JOY"
IR 207.1,Employment Relations and Industrial Democracy,SOLAIR,3.0,M 6-9PM,TBA,"ARAGON, ROSALIO"
IR 207.2,"Labor Standards, Justice and Equity",SOLAIR,3.0,S 9AM-12PM,TBA,"LAPESURA, RICARDO"
IR 211,Collective Bargaining and Negotiations,SOLAIR,3.0,T 6-9PM,TBA,TBA
IR 213,Organizational Behavior in Industrial Relations,SOLAIR,3.0,T 6-9PM,TBA,"ASUNCION, RONAHLEE"
IR 217,Employee Benefit Programs,SOLAIR,3.0,S 9AM-12PM,TBA,"SANTOS, ROLANDO"
IR 220,Human Resource Development at the National Level,SOLAIR,3.0,S 9AM-12PM,TBA,"MARASIGAN, MARY LEIAN"
IR 222,Human Resource Development at the Firm Level,SOLAIR,3.0,M 6-9PM,TBA,"BINGHAY, VIRGEL"
IR 225,Design and Administration of Training Programs,SOLAIR,3.0,T 6-9PM,TBA,"BINGHAY, VIRGEL"
IR 226,Special Problems in Human Resources Development,SOLAIR,3.0,Th 6-9PM,TBA,"ASUNCION, RONAHLEE"
IR 236,Special Topics in Comparative Industrial Relations,SOLAIR,3.0,W 6-9PM,TBA,"AMANTE, MARAGTAS SOFRONIO"
