course_code,course_title,offering_unit,units,timeslot,venue,instructor
Anthro 114,Archaeology of Southeast Asia and Oceania,DAnthro,3.0,TTh 8:30-10AM,PH 309A,"CANO, JENNY RUTH"
Anthro 118,Prehistory of the Philippines,DAnthro,3.0,TTh 1-2:30PM,PH 309B,"SIOCO, MARIE LOUISE ANTOINETTE"
Anthro 123,Peoples of the Philippines,DAnthro,3.0,WF 8:30-10AM,PH 230,"LANDICHO, MADILENE"
Anthro 133,Economic Anthropology,DAnthro,3.0,WF 11:30AM-1PM,PH 402,"MANGAHAS, MARIA"
Anthro 151,Comparative Religion,DAnthro,3.0,TTh 2:30-4PM,PH 402,"BANQUILES, VENES CARMELO"
Anthro 161,Introduction to Folklore,DAnthro,3.0,TTh 5:30-7PM,PH 402,"TATEL, CARLOS"
Anthro 167,Anthropology of Health Care,DAnthro,3.0,TTh 1-2:30PM,PH 402,"JOCANO, FELIPE"
Anthro 173,Introduction to Urban Anthropology,DAnthro,3.0,TTh 11:30AM-1PM,PH 309A,"LUNA, JARED JONATHAN"
Anthro 175,Applied Anthropology,DAnthro,3.0,TTh 10-11:30AM,PH 402,"TAQUEBAN, EFENITA MAY"
Anthro 181,Social Anthropology,DAnthro,3.0,TTh 10-11:30AM,PH 226,"BANQUILES, VENES CARMELO"
Anthro 187,Sex and Culture,DAnthro,3.0,TTh 8:30-10AM,Anthro Museum,"LANDICHO, MADILENE"
Anthro 190,Field Methods in Anthropology,DAnthro,3.0,WF 10-11:30AM,PH 220,"SANTOS, MONICA FIDES AMADA"
Anthro 194,Research Methods in Linguistic Anthropology,DAnthro,3.0,TTh 8:30-10AM,PH 402,"REGINIO, MARK KEVIN"
Anthro 198,Special Topics,DAnthro,3.0,S 9AM-12PM,PH 309B,"ANADON, EDWIN MIGUEL"
Anthro 202,Historical Foundations of Physical Anthropology,DAnthro,3.0,W 4-7PM,TBA,"TAN, MICHAEL"
Anthro 216,Field Work in Philippine Archaeology,DAnthro,3.0,T 5:30-8:30PM,TBA,"FAYLONA, MARIE GRACE PAMELA"
Anthro 224,World Ethnography,DAnthro,3.0,F 5-8PM,TBA,"GUAZON, HECTOR"
Anthro 225,Philippine Culture and Society,DAnthro,3.0,S 9AM-12PM,TBA,"CABALZA, CHESTER"
Anthro 232,Seminar in Ecological Anthropology,DAnthro,3.0,W 5-8PM,PH 108-110,"LASCO, PAUL GIDEON"
Anthro 235,Seminar in Culture and Population,DAnthro,3.0,S 9AM-12PM,TBA,"GUAZON, HECTOR"
Anthro 236,Seminar in Economic Organization and Cultural Behavior,DAnthro,3.0,T 5:30-8:30PM,PH 108-110,"RACELIS, MARY"
Anthro 251,Seminar in Religious Systems,DAnthro,3.0,W 5:30-8:30PM,TBA,"PAMA, HERMEL"
Anthro 262,Seminar in Myths and Rituals,DAnthro,3.0,F 5:30-8:30PM,TBA,"PAMA, HERMEL"
Anthro 278,Special Problems in Philippine Cultural Anthropology,DAnthro,3.0,S 1-4PM,TBA,"CABALZA, CHESTER"
Anthro 280,Special Problems in Philippine Communities,DAnthro,3.0,W 5:30-8:30PM,TBA,"FAYLONA, MARIE GRACE PAMELA"
Anthro 289,Special Problems in the Anthropology of Education,DAnthro,3.0,W 5-8PM,TBA,"ABAYA, EUFRACIO"
Anthro 297,Seminar in Research Design and Methods,DAnthro,3.0,Th 4-7PM,TBA,"DALISAY, SOLEDAD NATALIA"
